Strain Name	Virus Type	Subtype/Genotype (ViPR)	GenBank Accession	Sequence Length	Collection Date	Host	GenBank Host	Country	Mol Type	
UNKNOWN-GN088766	Hepatitis C virus	1a	GN088766	9599	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-GN088768	Hepatitis C virus	1a	GN088768	9599	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-GN088776	Hepatitis C virus	2a	GN088776	9678	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HB398076	Hepatitis C virus	1b	HB398076	9611	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HB455323	Hepatitis C virus	6a/2a	HB455323	9684	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HB455325	Hepatitis C virus	6a/2a	HB455325	9684	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HB455327	Hepatitis C virus	6a/2a	HB455327	9684	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HB455517	Hepatitis C virus	1a/2a	HB455517	9666	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HB455519	Hepatitis C virus	1b/2a	HB455519	9666	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HB455521	Hepatitis C virus	1a/2a	HB455521	9666	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HB455523	Hepatitis C virus	1a/2a	HB455523	9666	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HB455524	Hepatitis C virus	1a/2a	HB455524	9666	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HB455525	Hepatitis C virus	1a/2a	HB455525	9666	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HB455526	Hepatitis C virus	1a/2a	HB455526	9666	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HB455527	Hepatitis C virus	1a/2a	HB455527	9666	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HB455528	Hepatitis C virus	1a/2a	HB455528	9666	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HB455529	Hepatitis C virus	1b/2a	HB455529	9666	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HB455530	Hepatitis C virus	1b/2a	HB455530	9666	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HB455531	Hepatitis C virus	1b/2a	HB455531	9666	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HB455532	Hepatitis C virus	1b/2a	HB455532	9666	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HB455533	Hepatitis C virus	1b/2a	HB455533	9666	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HB455534	Hepatitis C virus	1b/2a	HB455534	9666	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HB455535	Hepatitis C virus	1b/2a	HB455535	9666	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HB455536	Hepatitis C virus	1b/2a	HB455536	9666	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HB455537	Hepatitis C virus	1b/2a	HB455537	9666	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HB455538	Hepatitis C virus	1a/2a	HB455538	9666	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HB455539	Hepatitis C virus	1a/2a	HB455539	9666	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HB455540	Hepatitis C virus	1a/2a	HB455540	9666	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HB455591	Hepatitis C virus	3a/2a	HB455591	9687	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HB455592	Hepatitis C virus	3a/2a	HB455592	9687	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HB455593	Hepatitis C virus	3a/2a	HB455593	9687	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HB455597	Hepatitis C virus	1a/2a	HB455597	9666	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HB455598	Hepatitis C virus	1a/2a	HB455598	9666	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HB455599	Hepatitis C virus	1a/2a	HB455599	9666	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HB455600	Hepatitis C virus	1a/2a	HB455600	9666	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HB455601	Hepatitis C virus	3a/2a	HB455601	9687	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HB455602	Hepatitis C virus	3a/2a	HB455602	9687	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HB455603	Hepatitis C virus	3a/2a	HB455603	9687	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HB455604	Hepatitis C virus	3a/2a	HB455604	9687	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HC186603	Hepatitis C virus	1b	HC186603	9538	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HC186604	Hepatitis C virus	2b	HC186604	9654	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HC186605	Hepatitis C virus	2k	HC186605	9488	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HC186606	Hepatitis C virus	2a	HC186606	9678	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HC186607	Hepatitis C virus	2a	HC186607	9674	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HC186608	Hepatitis C virus	2a	HC186608	9659	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HC186609	Hepatitis C virus	2a	HC186609	9678	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HC186610	Hepatitis C virus	2a	HC186610	9641	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HC186611	Hepatitis C virus	2a	HC186611	9691	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HC186612	Hepatitis C virus	2a	HC186612	9683	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HC186613	Hepatitis C virus	1b	HC186613	9426	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HC186614	Hepatitis C virus	1b	HC186614	9616	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HC186615	Hepatitis C virus	1b	HC186615	9571	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HC186616	Hepatitis C virus	1b	HC186616	9573	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HC186617	Hepatitis C virus	1b	HC186617	9547	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HC186618	Hepatitis C virus	1b	HC186618	9344	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HC186619	Hepatitis C virus	1b	HC186619	9435	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HC186620	Hepatitis C virus	1b	HC186620	9480	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HC186621	Hepatitis C virus	1b	HC186621	9585	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HC186622	Hepatitis C virus	1b	HC186622	9344	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HC186623	Hepatitis C virus	1b	HC186623	9460	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HC186624	Hepatitis C virus	1b	HC186624	9419	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HC186625	Hepatitis C virus	1b	HC186625	9504	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HC186626	Hepatitis C virus	1b	HC186626	9344	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HC186627	Hepatitis C virus	1b	HC186627	9598	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HC186628	Hepatitis C virus	1b	HC186628	9587	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HC186629	Hepatitis C virus	1b	HC186629	9658	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HC186630	Hepatitis C virus	1b	HC186630	9359	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HC186631	Hepatitis C virus	1b	HC186631	9359	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HC186632	Hepatitis C virus	1b	HC186632	9359	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HC186633	Hepatitis C virus	1b	HC186633	9359	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HC186634	Hepatitis C virus	1b	HC186634	9359	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HC186635	Hepatitis C virus	1b	HC186635	9359	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HC186636	Hepatitis C virus	1b	HC186636	9359	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HC186637	Hepatitis C virus	1b	HC186637	9359	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HC186638	Hepatitis C virus	1b	HC186638	9359	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HC186639	Hepatitis C virus	1b	HC186639	9359	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HC186640	Hepatitis C virus	1b	HC186640	9359	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HC186641	Hepatitis C virus	1b	HC186641	9359	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HC186642	Hepatitis C virus	1b	HC186642	9359	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HC186643	Hepatitis C virus	1b	HC186643	9359	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HC186644	Hepatitis C virus	1b	HC186644	9359	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HC186645	Hepatitis C virus	1b	HC186645	9359	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HC186646	Hepatitis C virus	1b	HC186646	9359	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HC186647	Hepatitis C virus	1b	HC186647	9359	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HC186648	Hepatitis C virus	1b	HC186648	9359	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HC186649	Hepatitis C virus	1b	HC186649	9359	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HC186650	Hepatitis C virus	1b	HC186650	9359	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HC186651	Hepatitis C virus	1b	HC186651	9359	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HC186652	Hepatitis C virus	1b	HC186652	9359	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HC186653	Hepatitis C virus	1b	HC186653	9359	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HC186654	Hepatitis C virus	1b	HC186654	9359	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HC186655	Hepatitis C virus	1b	HC186655	9359	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HC186656	Hepatitis C virus	1b	HC186656	9359	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HC186657	Hepatitis C virus	1b	HC186657	9359	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HC186658	Hepatitis C virus	1b	HC186658	9359	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HC186659	Hepatitis C virus	1b	HC186659	9359	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HC186660	Hepatitis C virus	1b	HC186660	9587	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HC186661	Hepatitis C virus	1a	HC186661	9646	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HC186662	Hepatitis C virus	1a	HC186662	9599	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HC186663	Hepatitis C virus	1a	HC186663	9599	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HC186664	Hepatitis C virus	1a	HC186664	9599	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HC186665	Hepatitis C virus	3a	HC186665	9425	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HC186666	Hepatitis C virus	1b	HC186666	9595	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HC186667	Hepatitis C virus	1b	HC186667	9595	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HC186668	Hepatitis C virus	1b	HC186668	9596	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HC186669	Hepatitis C virus	1b	HC186669	9580	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HC186670	Hepatitis C virus	1b	HC186670	8779	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HC186671	Hepatitis C virus	1b	HC186671	8780	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HC186672	Hepatitis C virus	1b	HC186672	8780	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HC186673	Hepatitis C virus	1b	HC186673	8781	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HC186674	Hepatitis C virus	1b	HC186674	8780	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HC186675	Hepatitis C virus	1b	HC186675	8781	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HC186676	Hepatitis C virus	1b	HC186676	8780	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HC186677	Hepatitis C virus	1b	HC186677	8780	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HC186678	Hepatitis C virus	1b	HC186678	8780	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HC186679	Hepatitis C virus	5a	HC186679	9408	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HC186680	Hepatitis C virus	1b	HC186680	9616	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HC186681	Hepatitis C virus	1b	HC186681	9389	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HC186682	Hepatitis C virus	1b	HC186682	9389	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HC186683	Hepatitis C virus	1b	HC186683	9379	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HC186684	Hepatitis C virus	1b	HC186684	9379	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HC186685	Hepatitis C virus	1b	HC186685	9379	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HC186686	Hepatitis C virus	1b	HC186686	9379	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HC186687	Hepatitis C virus	1b	HC186687	9379	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HC186688	Hepatitis C virus	1b	HC186688	9379	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HC186689	Hepatitis C virus	1b	HC186689	9369	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HC186690	Hepatitis C virus	1b	HC186690	9369	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HC186691	Hepatitis C virus	1b	HC186691	9386	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HC186692	Hepatitis C virus	1b	HC186692	9386	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HC186693	Hepatitis C virus	1b	HC186693	9379	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HC186694	Hepatitis C virus	1b	HC186694	9379	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HC186695	Hepatitis C virus	1b	HC186695	9379	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HC186696	Hepatitis C virus	1b	HC186696	9379	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HC186697	Hepatitis C virus	1b	HC186697	9379	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HC186698	Hepatitis C virus	1b	HC186698	9379	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HC186699	Hepatitis C virus	1b	HC186699	9379	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HC186700	Hepatitis C virus	1b	HC186700	9379	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HC186701	Hepatitis C virus	2a	HC186701	9661	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HC186702	Hepatitis C virus	2a	HC186702	9693	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HC186703	Hepatitis C virus	2a	HC186703	9653	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HC186704	Hepatitis C virus	2a	HC186704	9700	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HC186705	Hepatitis C virus	1b	HC186705	9600	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HC186706	Hepatitis C virus	2a	HC186706	9711	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HC186707	Hepatitis C virus	1b	HC186707	9375	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HC186708	Hepatitis C virus	1b	HC186708	9374	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HC186709	Hepatitis C virus	1b	HC186709	9375	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HC186710	Hepatitis C virus	1b	HC186710	9379	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HC186711	Hepatitis C virus	1b	HC186711	9377	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HC186712	Hepatitis C virus	1b	HC186712	9375	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HC186713	Hepatitis C virus	1b	HC186713	9379	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HC186714	Hepatitis C virus	1b	HC186714	9388	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HC186715	Hepatitis C virus	1b	HC186715	9379	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HC186716	Hepatitis C virus	1b	HC186716	9379	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HC186717	Hepatitis C virus	1b	HC186717	9379	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HC186718	Hepatitis C virus	1b	HC186718	9377	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HC186719	Hepatitis C virus	1b	HC186719	9368	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HC186720	Hepatitis C virus	1b	HC186720	9379	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HC186721	Hepatitis C virus	1b	HC186721	9379	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HC186722	Hepatitis C virus	1b	HC186722	9379	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HC186723	Hepatitis C virus	1b	HC186723	9379	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HC186724	Hepatitis C virus	1b	HC186724	9379	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HC186725	Hepatitis C virus	1b	HC186725	9379	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HC186726	Hepatitis C virus	1b	HC186726	9379	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HC186727	Hepatitis C virus	1b	HC186727	9379	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HC186728	Hepatitis C virus	1b	HC186728	9379	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HC186729	Hepatitis C virus	1b	HC186729	9379	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HC186730	Hepatitis C virus	1b	HC186730	9373	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HC186731	Hepatitis C virus	2a	HC186731	9416	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HC186732	Hepatitis C virus	2a	HC186732	9416	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HC186733	Hepatitis C virus	2a	HC186733	9416	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HC186734	Hepatitis C virus	2a	HC186734	9416	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HC186735	Hepatitis C virus	2a	HC186735	9416	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HC186736	Hepatitis C virus	2b	HC186736	9416	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HC186737	Hepatitis C virus	1a	HC186737	9618	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HC186738	Hepatitis C virus	1a	HC186738	9365	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HC186739	Hepatitis C virus	1b	HC186739	9359	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HC186740	Hepatitis C virus	1b	HC186740	9587	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HC186741	Hepatitis C virus	1b	HC186741	9609	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HC186742	Hepatitis C virus	1b	HC186742	9361	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HC186743	Hepatitis C virus	1a	HC186743	9424	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HC186744	Hepatitis C virus	1a	HC186744	9426	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HC186745	Hepatitis C virus	1a	HC186745	9395	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HC186746	Hepatitis C virus	1b	HC186746	9379	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HC186747	Hepatitis C virus	1b	HC186747	9418	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HC186748	Hepatitis C virus	1b	HC186748	9533	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HC186749	Hepatitis C virus	1b	HC186749	9605	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HC186750	Hepatitis C virus	1b	HC186750	9033	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HC186751	Hepatitis C virus	1a	HC186751	9610	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HC186752	Hepatitis C virus	1b	HC186752	9408	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HC186753	Hepatitis C virus	1c	HC186753	9441	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HC186754	Hepatitis C virus	2b	HC186754	9406	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HC186755	Hepatitis C virus	2b	HC186755	9406	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HC186756	Hepatitis C virus	2b	HC186756	9406	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HC186757	Hepatitis C virus	2b	HC186757	9406	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HC186758	Hepatitis C virus	2b	HC186758	9406	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HC186759	Hepatitis C virus	2b	HC186759	9406	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HC186760	Hepatitis C virus	2b	HC186760	9406	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HC186761	Hepatitis C virus	2b	HC186761	9406	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HC186762	Hepatitis C virus	2b	HC186762	9406	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HC186763	Hepatitis C virus	2b	HC186763	9406	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HC186764	Hepatitis C virus	2b	HC186764	9406	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HC186765	Hepatitis C virus	2b	HC186765	9406	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HC186766	Hepatitis C virus	2b	HC186766	9406	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HC186767	Hepatitis C virus	2b	HC186767	9406	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HC186768	Hepatitis C virus	2b	HC186768	9406	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HC186769	Hepatitis C virus	2b	HC186769	9406	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HC186770	Hepatitis C virus	2b	HC186770	9406	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HC186771	Hepatitis C virus	2b	HC186771	9406	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HC186772	Hepatitis C virus	2b	HC186772	9406	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
