sequenceId	conclusionTaxon	conclusionTaxonSupport	blastClusterConclusion	blastIdentityScore	alignmentFile	logFile	treeFile
3060-11087	3a	100.0	HCV	0.9331565	r5506946.nex	r8208408.log	r9113587.tre
5295-11009	3a	100.0	HCV	0.9289658	r9597576.nex	r2371817.log	r4480355.tre
0452-11114	3a	100.0	HCV	0.9313934	r9676325.nex	r7894379.log	r8050935.tre
3902-11091	3a	100.0	HCV	0.9351793	r4624905.nex	r5440474.log	r1732338.tre
4472-11171	3a	100.0	HCV	0.9215292	r1237222.nex	r8575773.log	r2627204.tre
4472-11104	3a	100.0	HCV	0.9389013	r5313523.nex	r2685966.log	r4541304.tre
1469-11185	3a	100.0	HCV	0.88495576	r2378109.nex	r6659027.log	r7758803.tre
1122-11268	3a	100.0	HCV	0.91935825	r6248233.nex	r962020.log	r1869408.tre
8451-11484	3a	100.0	HCV	0.9319099	r5790148.nex	r9111150.log	r9860586.tre
5295-11052	3a	100.0	HCV	0.937321	r4739487.nex	r9993368.log	r1176521.tre
0595-11025	3a	100.0	HCV	0.9239037	r702384.nex	r171033.log	r3710065.tre
6876-11199	3a	100.0	HCV	0.93002015	r2710515.nex	r7480718.log	r6176448.tre
8671-11216	3a	100.0	HCV	0.938847	r8510648.nex	r7861838.log	r3724773.tre
8671-11401	3a	100.0	HCV	0.92569363	r1008909.nex	r9931900.log	r5422610.tre
4472-11071	Geno_2	99.0	HCV	0.92413795	r7497673.nex	r8208612.log	r5507909.tre
8671-11150	3a	100.0	HCV	0.9313423	r5768500.nex	r8162748.log	r9619053.tre
8813-11478	3a	100.0	HCV	0.9257369	r6504662.nex	r4648869.log	r218352.tre
8667-11193	3a	100.0	HCV	0.9307889	r7111331.nex	r4404049.log	r4974235.tre
3902-11444	3a	100.0	HCV	0.91341186	r345060.nex	r8627804.log	r4073180.tre
0529-11181	3a	100.0	HCV	0.90883857	r6919228.nex	r7251594.log	r1728580.tre
8451-11399	3a	100.0	HCV	0.9328453	r6001432.nex	r467847.log	r2049179.tre
1469-11174	3a	100.0	HCV	0.9364928	r9356269.nex	r1588300.log	r3506751.tre
3902-11082	3a	100.0	HCV	0.91383815	r5061996.nex	r5311962.log	r2413156.tre
3902-11336	2c	100.0	HCV	0.7835008	r7367398.nex	r6967419.log	r7780200.tre
4472-11246	3a	100.0	HCV	0.9283817	r9873754.nex	r122871.log	r3221878.tre
8666-11527	3a	100.0	HCV	0.9359314	r2438373.nex	r9744736.log	r7476689.tre
5295-11020	3a	100.0	HCV	0.9318833	r5047752.nex	r4581214.log	r4377424.tre
0057-11027	3a	100.0	HCV	0.9406905	r7745755.nex	r49877.log	r1736974.tre
4421-11033	3a	100.0	HCV	0.9356551	r2375449.nex	r1313437.log	r7532700.tre
3902-11235	3a	100.0	HCV	0.93891424	r5564054.nex	r4150502.log	r1683958.tre
8451-11408	3a	100.0	HCV	0.9351655	r2124508.nex	r1587479.log	r9288750.tre
1624-11085	3a	100.0	HCV	0.9360348	r4885537.nex	r9140348.log	r7619805.tre
8669-11237	3a	100.0	HCV	0.9362402	r1891660.nex	r8677457.log	r1227799.tre
0063-11198	3a	100.0	HCV	0.94020814	r945390.nex	r9518332.log	r3678467.tre
0452-11134	3a	100.0	HCV	0.9328246	r1608154.nex	r7097563.log	r8745009.tre
0617-11350	3a	100.0	HCV	0.9409453	r3373499.nex	r2060894.log	r7105690.tre
1065-11124	3a	100.0	HCV	0.9319388	r9421383.nex	r6264184.log	r2082904.tre
3078-11304	3a	100.0	HCV	0.91899055	r7500395.nex	r5456420.log	r3080214.tre
4472-11053	3a	100.0	HCV	0.92856383	r3610440.nex	r8631309.log	r9983972.tre
8666-11146	3a	100.0	HCV	0.9337375	r4758985.nex	r7096098.log	r4486786.tre
5295-11017	3a	100.0	HCV	0.9295416	r4622997.nex	r6569080.log	r3851851.tre
3078-11135	3a	100.0	HCV	0.97202796	r3819372.nex	r9920526.log	r5055670.tre
1065-11217	3a	100.0	HCV	0.9187056	r4029215.nex	r8173743.log	r7985936.tre
8670-11299	3a	100.0	HCV	0.93326956	r7088947.nex	r4620225.log	r5640376.tre
8670-11485	3a	100.0	HCV	0.92002714	r2552352.nex	r8608344.log	r6408360.tre
8666-11458	3a	100.0	HCV	0.9280017	r5365336.nex	r5189235.log	r7554675.tre
0063-11292	3a	100.0	HCV	0.9328517	r2326045.nex	r1619596.log	r5959882.tre
8665-11257	3a	100.0	HCV	0.91331565	r1950808.nex	r836038.log	r5364884.tre
3902-11365	3a	100.0	HCV	0.92615384	r2709336.nex	r1544020.log	r7969930.tre
8669-11173	3a	100.0	HCV	0.92823017	r1472145.nex	r2660907.log	r9460848.tre
8669-11278	3a	100.0	HCV	0.911927	r9020606.nex	r2735545.log	r1017057.tre
6877-11324	3a	100.0	HCV	0.92589444	r5392465.nex	r6002857.log	r7329708.tre
0057-11207	3a	100.0	HCV	0.9181094	r7682650.nex	r4091326.log	r6544651.tre
1065-11219	3a	100.0	HCV	0.93904257	r7987210.nex	r6725918.log	r1544851.tre
3902-11083	3a	100.0	HCV	0.91153073	r3848800.nex	r6739959.log	r8681585.tre
1065-11242	3a	100.0	HCV	0.9244963	r2965736.nex	r3330339.log	r2966660.tre
3775-11445	3a	100.0	HCV	0.9355181	r1543852.nex	r3348018.log	r3181188.tre
3078-11079	3a	100.0	HCV	0.929983	r1376359.nex	r4110366.log	r4033685.tre
3060-11030	3a	100.0	HCV	0.93040526	r5736644.nex	r5601912.log	r6420898.tre
4323-11084	3a	100.0	HCV	0.93235075	r7703953.nex	r5700751.log	r9898436.tre
0595-11074	3a	100.0	HCV	0.9233947	r8190556.nex	r9781344.log	r9729162.tre
3078-11525	3a	100.0	HCV	0.9340263	r9766600.nex	r3417504.log	r3720517.tre
8666-11405	3a	100.0	HCV	0.9198895	r8134533.nex	r8850634.log	r2599487.tre
8665-11256	3a	100.0	HCV	0.9228101	r3096407.nex	r5556339.log	r6954575.tre
3775-11587	3a	100.0	HCV	0.92627215	r7075017.nex	r7891306.log	r8631597.tre
8665-11255	3a	100.0	HCV	0.9299958	r5748282.nex	r110734.log	r9838361.tre
0617-11512	3a	100.0	HCV	0.92700267	r7836597.nex	r63581.log	r3167701.tre
0595-11016	3a	100.0	HCV	0.926806	r1061772.nex	r8649744.log	r1467972.tre
0595-11039	3a	100.0	HCV	0.91653925	r8178133.nex	r4539685.log	r1773039.tre
3078-11090	3a	100.0	HCV	0.90832007	r4791316.nex	r4887073.log	r1407273.tre
1065-11123	3a	100.0	HCV	0.92818445	r2177396.nex	r265710.log	r3992970.tre
8670-11340	3a	100.0	HCV	0.8798151	r7549598.nex	r4904217.log	r5375074.tre
8669-11333	3a	100.0	HCV	0.90103114	r9700250.nex	r9092469.log	r9596436.tre
8667-11126	3a	100.0	HCV	0.9308076	r1850828.nex	r8282589.log	r9438541.tre
4323-11003	3a	100.0	HCV	0.9283059	r8453324.nex	r5224525.log	r2024102.tre
2493-11038	3a	100.0	HCV	0.9381509	r5713410.nex	r9366733.log	r9660462.tre
6876-11188	3a	100.0	HCV	0.93815637	r738965.nex	r1369025.log	r578795.tre
0057-11026	3a	100.0	HCV	0.88771856	r7145841.nex	r1431368.log	r5240688.tre
4001-11043	2a	100.0	HCV	0.78085667	r558644.nex	r4064903.log	r3449937.tre
8667-11070	3a	100.0	HCV	0.9380117	r8600920.nex	r3160920.log	r1891625.tre
2493-11047	3a	100.0	HCV	0.9350691	r7210469.nex	r4924578.log	r4720109.tre
3902-11298	3a	100.0	HCV	0.92943674	r190262.nex	r2167168.log	r1120919.tre
8671-11148	3a	100.0	HCV	0.91149944	r1156163.nex	r1754666.log	r1671898.tre
1122-11194	3a	100.0	HCV	0.91662246	r9996294.nex	r8458069.log	r8982273.tre
5295-11113	3a	100.0	HCV	0.9245783	r2444766.nex	r4413237.log	r2951971.tre
6877-11156	3a	100.0	HCV	0.94030803	r8938659.nex	r7111984.log	r2011986.tre
4472-11165	2a	100.0	HCV	0.7772727	r3220133.nex	r7826310.log	r2255657.tre
1069-11118	2a	100.0	HCV	0.77937293	r3426375.nex	r2783269.log	r6902647.tre
5367-11595	2a	100.0	HCV	0.7786114	r4246490.nex	r6687032.log	r7311771.tre
4421-11034	3a	100.0	HCV	0.9374271	r8380025.nex	r4038323.log	r5978268.tre
0595-11116	3a	100.0	HCV	0.9365771	r2494034.nex	r8202273.log	r6060332.tre
8667-11061	3a	100.0	HCV	0.9293668	r5407215.nex	r6460114.log	r822843.tre
3902-11258	3b	100.0	HCV	0.78629845	r7761797.nex	r5882125.log	r4355314.tre
1122-11196	3a	100.0	HCV	0.9112033	r70924.nex	r4622078.log	r8166185.tre
8815-11107	3a	100.0	HCV	0.9284349	r2298498.nex	r6180558.log	r5464354.tre
8812-11364	3a	100.0	HCV	0.92424405	r9759238.nex	r2671185.log	r3130256.tre
8817-11288	2b	100.0	HCV	0.76962906	r8228204.nex	r3026544.log	r6595154.tre
8670-11065	3a	100.0	HCV	0.93438095	r945104.nex	r5720459.log	r6562911.tre
8667-11307	3a	100.0	HCV	0.93013376	r4204670.nex	r2514488.log	r2015334.tre
1122-11227	3a	100.0	HCV	0.93516845	r5258775.nex	r2472880.log	r2904817.tre
2689-11004	3a	100.0	HCV	0.94121385	r9608032.nex	r674524.log	r3753884.tre
6876-11178	2b	100.0	HCV	0.7706199	r6269899.nex	r7514519.log	r8913647.tre
8669-11097	3a	100.0	HCV	0.90163124	r2355930.nex	r3084822.log	r6926960.tre
0452-11128	3a	100.0	HCV	0.93344676	r9020699.nex	r7151984.log	r8765784.tre
6877-11280	3a	100.0	HCV	0.9240721	r4217461.nex	r2730710.log	r7311077.tre
4472-11569	3a	100.0	HCV	0.93140376	r7840395.nex	r9248391.log	r8321580.tre
8671-11342	3a	100.0	HCV	0.924318	r5675928.nex	r5914424.log	r8629164.tre
3775-11337	2b	100.0	HCV	0.76779306	r2821322.nex	r7547698.log	r7521422.tre
3902-11271	3a	100.0	HCV	0.9390658	r4762009.nex	r8973199.log	r8199552.tre
1065-11157	3a	100.0	HCV	0.9260717	r4410600.nex	r7877434.log	r415962.tre
2493-11197	3a	100.0	HCV	0.933305	r843502.nex	r7215110.log	r4048500.tre
8815-11180	3a	100.0	HCV	0.92079836	r9072682.nex	r4386661.log	r3757987.tre
5283-11223	2a	100.0	HCV	0.7788014	r3675618.nex	r2817600.log	r8571035.tre
4421-11037	3a	100.0	HCV	0.936177	r6956491.nex	r1705058.log	r7522567.tre
1065-11404	2c	100.0	HCV	0.7839323	r9745110.nex	r8783267.log	r2453881.tre
8817-11289	3a	100.0	HCV	0.9266045	r7348781.nex	r5289858.log	r397003.tre
3078-11109	3a	100.0	HCV	0.8483412	r5334299.nex	r9584982.log	r4303309.tre
4472-11122	3a	100.0	HCV	0.929398	r6649088.nex	r43076.log	r5007123.tre
8666-11457	3i	99.0	HCV	0.7830329	r8132972.nex	r6375289.log	r2548513.tre
0617-11511	3a	100.0	HCV	0.924215	r1241312.nex	r2909107.log	r7329902.tre
5295-11112	3a	100.0	HCV	0.9292683	r4576673.nex	r944804.log	r5360336.tre
3078-11136	3a	100.0	HCV	0.9307488	r8386337.nex	r1073027.log	r1886141.tre
8813-11529	3a	100.0	HCV	0.92777365	r7422236.nex	r695819.log	r5022085.tre
8669-11045	3a	100.0	HCV	0.9104019	r8886849.nex	r4637148.log	r4506676.tre
3060-11007	3a	100.0	HCV	0.93762594	r12538.nex	r9299593.log	r6243834.tre
5294-11214	3a	100.0	HCV	0.92998093	r7390845.nex	r3415952.log	r1910898.tre
1065-11168	3a	100.0	HCV	0.9337861	r8953006.nex	r9321257.log	r3997969.tre
5498-11172	3a	100.0	HCV	0.932207	r8759436.nex	r7509209.log	r7310270.tre
8669-11098	3a	100.0	HCV	0.9402906	r2836926.nex	r3661379.log	r8589212.tre
5868-11142	2b	100.0	HCV	0.7680025	r726181.nex	r2435736.log	r2629132.tre
8671-11456	3a	100.0	HCV	0.9172695	r9623204.nex	r9257920.log	r1718372.tre
3078-11029	2b	100.0	HCV	0.7718057	r5261962.nex	r2275230.log	r5691013.tre
8670-11547	3a	100.0	HCV	0.9253288	r1290958.nex	r6040566.log	r2460749.tre
3078-11137	3a	100.0	HCV	0.92531604	r9617664.nex	r6157.log	r8415376.tre
8667-11450	3a	100.0	HCV	0.93369406	r9565763.nex	r5898723.log	r1406119.tre
0452-11115	2b	100.0	HCV	0.7695084	r6276656.nex	r8170747.log	r4365476.tre
8817-11286	2b	100.0	HCV	0.7717575	r7522109.nex	r4526125.log	r2090329.tre
3078-11078	3a	100.0	HCV	0.94111395	r2184273.nex	r6364400.log	r9134650.tre
0057-11040	3a	100.0	HCV	0.93792444	r6498775.nex	r4894187.log	r3524922.tre
1122-11269	3a	100.0	HCV	0.9134768	r7149500.nex	r4650804.log	r9401716.tre
3775-11370	3a	100.0	HCV	0.9306131	r7395347.nex	r6081733.log	r5681011.tre
8666-11476	3a	100.0	HCV	0.9302499	r9596507.nex	r4753842.log	r8965585.tre
4029-11086	2c	100.0	HCV	0.7809865	r7519762.nex	r8893022.log	r630694.tre
5295-11062	3a	100.0	HCV	0.9359151	r2585302.nex	r8275044.log	r6717940.tre
3902-11092	3a	100.0	HCV	0.9221041	r4792917.nex	r8615627.log	r7461165.tre
3902-11276	3a	100.0	HCV	0.931488	r1770732.nex	r3826522.log	r9957856.tre
0057-11208	3a	100.0	HCV	0.9314256	r7445322.nex	r1234517.log	r5664687.tre
0063-11200	3a	100.0	HCV	0.9001074	r9619636.nex	r2043482.log	r414211.tre
4029-11202	3a	100.0	HCV	0.93030655	r114387.nex	r8102697.log	r3426863.tre
4421-11036	3a	100.0	HCV	0.93974113	r1493750.nex	r9230755.log	r2135152.tre
2689-11001	3a	100.0	HCV	0.92912465	r3314997.nex	r3489398.log	r7884920.tre
5294-11131	3a	100.0	HCV	0.93422306	r1210783.nex	r781302.log	r3436892.tre
6876-11179	3a	100.0	HCV	0.93882525	r8049882.nex	r2445518.log	r149652.tre
1065-11244	3a	100.0	HCV	0.9265267	r8342033.nex	r4451957.log	r6378732.tre
3078-11077	3a	100.0	HCV	0.93485653	r7383274.nex	r3247767.log	r9665582.tre
1469-11184	3a	100.0	HCV	0.9252307	r1059301.nex	r9657313.log	r9843092.tre
1122-11228	3a	100.0	HCV	0.92804074	r2248293.nex	r9356728.log	r8653800.tre
4472-11056	3a	100.0	HCV	0.92094016	r5918265.nex	r1804803.log	r7937923.tre
8670-11155	3a	100.0	HCV	0.9349602	r5816203.nex	r2742207.log	r6114766.tre
3902-11081	3b	100.0	HCV	0.78748935	r6014759.nex	r3594560.log	r6887476.tre
1469-11211	3a	100.0	HCV	0.93377906	r4238522.nex	r828372.log	r2681564.tre
1065-11261	3a	100.0	HCV	0.92817736	r7773543.nex	r7492444.log	r7212790.tre
6876-11119	3a	100.0	HCV	0.9318013	r7389209.nex	r7771075.log	r7869149.tre
8667-11102	3a	100.0	HCV	0.93533343	r2868672.nex	r3192904.log	r6296362.tre
5498-11176	3a	100.0	HCV	0.9283059	r885713.nex	r1724524.log	r2666967.tre
4472-11105	3a	100.0	HCV	0.93914336	r8916775.nex	r9853552.log	r440484.tre
3902-11281	3a	100.0	HCV	0.9310162	r5750244.nex	r9951460.log	r5519868.tre
3902-11293	3a	100.0	HCV	0.94293594	r1459568.nex	r7832204.log	r7424114.tre
5294-11162	3a	100.0	HCV	0.92294645	r8775708.nex	r4691696.log	r3428045.tre
5295-11018	3a	100.0	HCV	0.9270899	r1033548.nex	r7310572.log	r6090645.tre
8669-11497	3a	100.0	HCV	0.93516344	r267507.nex	r3583246.log	r1907107.tre
4001-11117	3a	100.0	HCV	0.9424017	r5830642.nex	r8861068.log	r504412.tre
8813-11425	3a	100.0	HCV	0.9344821	r5219797.nex	r7927279.log	r4964444.tre
1624-11049	2a	100.0	HCV	0.77087307	r444907.nex	r2112627.log	r3136531.tre
5498-11191	3a	100.0	HCV	0.9140492	r4123533.nex	r1345158.log	r5991569.tre
5294-11159	3a	100.0	HCV	0.9296701	r9682338.nex	r5199983.log	r5914073.tre
8359-11388	3a	100.0	HCV	0.9381957	r4058186.nex	r6379424.log	r1811752.tre
8451-11327	3a	100.0	HCV	0.93635976	r8432205.nex	r7734089.log	r4917404.tre
8666-11151	3a	100.0	HCV	0.9332976	r4147531.nex	r670641.log	r9169238.tre
0617-11513	3a	100.0	HCV	0.93168294	r1551697.nex	r298932.log	r5259654.tre
2127-11057	3a	100.0	HCV	0.9282454	r114400.nex	r672486.log	r7155845.tre
4472-11130	3a	100.0	HCV	0.9330575	r3837403.nex	r1744929.log	r7044007.tre
4472-11170	3a	100.0	HCV	0.92691207	r4895443.nex	r4965848.log	r1741514.tre
0617-11295	3a	100.0	HCV	0.93168557	r9027243.nex	r3188458.log	r2177165.tre
3060-11042	3a	100.0	HCV	0.9	r9014188.nex	r1460388.log	r3350028.tre
8813-11424	3a	100.0	HCV	0.9392236	r7818859.nex	r2111514.log	r9722800.tre
8667-11096	3a	100.0	HCV	0.9169234	r9692246.nex	r834009.log	r3786043.tre
0529-11133	3a	100.0	HCV	0.92468995	r9872642.nex	r7349460.log	r5002779.tre
8667-11103	3a	100.0	HCV	0.93203264	r9131336.nex	r5912.log	r604675.tre
3078-11089	3a	100.0	HCV	0.9497242	r300907.nex	r3216617.log	r3985967.tre
8669-11044	3a	100.0	HCV	0.93218	r3743628.nex	r4159842.log	r894223.tre
4472-11125	3a	100.0	HCV	0.94366646	r1184309.nex	r9300820.log	r9927530.tre
3902-11236	3a	100.0	HCV	0.93184227	r9659069.nex	r8567172.log	r433544.tre
4472-11073	2b	100.0	HCV	0.7661897	r7001163.nex	r8404974.log	r7613009.tre
8666-11147	3a	100.0	HCV	0.9305659	r9004230.nex	r4284701.log	r1149608.tre
0057-11205	3a	100.0	HCV	0.9340204	r5647612.nex	r4165306.log	r1891542.tre
2493-11048	3a	100.0	HCV	0.9301802	r3229636.nex	r6643200.log	r9942874.tre
0595-11041	2b	100.0	HCV	0.76779306	r4952772.nex	r8565792.log	r16087.tre
8451-11308	2a	100.0	HCV	0.7784349	r7257211.nex	r6567529.log	r5317109.tre
8817-11313	2b	100.0	HCV	0.76649743	r6583241.nex	r8023016.log	r1303422.tre
5295-11259	3a	100.0	HCV	0.9270104	r3115912.nex	r1288801.log	r7238859.tre
3078-11363	3a	100.0	HCV	0.9560836	r3159435.nex	r1156218.log	r6035092.tre
5294-11161	3a	100.0	HCV	0.93209547	r6815016.nex	r9378699.log	r7496115.tre
1065-11167	3a	100.0	HCV	0.93161577	r789813.nex	r6597949.log	r7688037.tre
8669-11220	3a	100.0	HCV	0.9101446	r3847739.nex	r1554510.log	r7105999.tre
6877-11158	3a	100.0	HCV	0.93109673	r3429330.nex	r1149817.log	r6449767.tre
6876-11187	3a	100.0	HCV	0.93635106	r9393752.nex	r2013236.log	r8461341.tre
8671-11272	3a	100.0	HCV	0.9217954	r190680.nex	r6747132.log	r6570951.tre
8671-11149	3a	100.0	HCV	0.915623	r62039.nex	r8640707.log	r9673330.tre
4322-11011	3a	100.0	HCV	0.93872577	r4529693.nex	r4661727.log	r8064996.tre
8669-11093	3a	100.0	HCV	0.9328231	r7043687.nex	r5136901.log	r8573430.tre
5294-11160	3a	100.0	HCV	0.93719447	r9982415.nex	r1333047.log	r3300394.tre
8666-11144	3a	100.0	HCV	0.9382768	r1579548.nex	r4575655.log	r3037462.tre
9901-11203	3a	100.0	HCV	0.9340344	r587052.nex	r7457208.log	r8461763.tre
8813-11423	3a	100.0	HCV	0.9135737	r4535964.nex	r5193044.log	r1487022.tre
0521-11050	3a	100.0	HCV	0.9323165	r2359350.nex	r9358945.log	r7087714.tre
8667-11426	3a	100.0	HCV	0.9148643	r3062360.nex	r3135392.log	r3750798.tre
8451-11441	3a	100.0	HCV	0.93416727	r2128806.nex	r4192880.log	r9930046.tre
8670-11154	3a	100.0	HCV	0.9355968	r310678.nex	r8700096.log	r3917223.tre
1065-11169	3a	100.0	HCV	0.9328382	r953050.nex	r1732938.log	r314824.tre
1469-11362	3a	100.0	HCV	0.93098325	r4155306.nex	r7319166.log	r6710287.tre
8670-11360	3a	100.0	HCV	0.94451517	r5320042.nex	r70051.log	r3711286.tre
5283-11224	3a	100.0	HCV	0.9495442	r8984081.nex	r1559033.log	r446100.tre
3902-11031	2a	100.0	HCV	0.77691656	r1877511.nex	r8700614.log	r2112249.tre
4472-11561	3a	100.0	HCV	0.9363044	r750496.nex	r7977248.log	r8296506.tre
8813-11379	3a	100.0	HCV	0.9114656	r1795190.nex	r4597087.log	r9476884.tre
1624-11182	3a	100.0	HCV	0.9355968	r492709.nex	r2367075.log	r5759034.tre
2493-11068	3a	100.0	HCV	0.93301535	r2710345.nex	r7847238.log	r1353962.tre
4001-11059	3a	100.0	HCV	0.9176994	r9938212.nex	r8158716.log	r3614796.tre
3078-11080	3a	100.0	HCV	0.9373407	r8017307.nex	r7362852.log	r5955500.tre
5498-11164	3a	100.0	HCV	0.92766094	r5219848.nex	r7298365.log	r9796460.tre
8667-11143	2a	100.0	HCV	0.76564974	r867180.nex	r1619416.log	r2545248.tre
0617-11347	3a	100.0	HCV	0.932322	r318630.nex	r7404952.log	r379679.tre
8669-11095	3a	100.0	HCV	0.9277913	r9318506.nex	r8115856.log	r6795768.tre
0521-11139	3a	100.0	HCV	0.9303609	r904805.nex	r7364300.log	r4089743.tre
8670-11361	3a	100.0	HCV	0.93650115	r7640926.nex	r552463.log	r8597446.tre
8670-11470	3a	100.0	HCV	0.928185	r5647726.nex	r9560349.log	r8360684.tre
8665-11285	3a	100.0	HCV	0.9262521	r9683228.nex	r8023786.log	r1112364.tre
4472-11032	3a	100.0	HCV	0.938522	r5778044.nex	r6805655.log	r20623.tre
8669-11398	3a	100.0	HCV	0.922043	r3679535.nex	r2813491.log	r7188478.tre
4472-11054	3a	100.0	HCV	0.9264285	r3276996.nex	r6704884.log	r4372198.tre
2689-11008	3a	100.0	HCV	0.9328445	r3931770.nex	r5755706.log	r712187.tre
2493-11201	3a	100.0	HCV	0.92710334	r3195315.nex	r3995588.log	r1901870.tre
4322-11024	3a	100.0	HCV	0.8897727	r5865335.nex	r2281621.log	r2300655.tre
6876-11183	3a	100.0	HCV	0.93714225	r9520491.nex	r533948.log	r8541904.tre
5498-11190	3a	100.0	HCV	0.9241621	r4244679.nex	r984269.log	r5733754.tre
4001-11101	3a	100.0	HCV	0.93451685	r6061489.nex	r3547069.log	r9622508.tre
4029-11075	3a	100.0	HCV	0.93384224	r4435950.nex	r6185508.log	r9607333.tre
8813-11446	3a	100.0	HCV	0.9295954	r1943971.nex	r919006.log	r8031809.tre
4322-11019	3a	100.0	HCV	0.92967755	r7939336.nex	r9047877.log	r7356721.tre
8666-11121	3a	100.0	HCV	0.9289496	r4539889.nex	r320229.log	r7134145.tre
8669-11046	3a	100.0	HCV	0.93087703	r2751298.nex	r9304702.log	r3647562.tre
5295-11145	3a	100.0	HCV	0.88372093	r3619821.nex	r9478378.log	r9512820.tre
2689-11021	3a	100.0	HCV	0.8584475	r8068232.nex	r3842790.log	r349794.tre
5295-11507	3a	100.0	HCV	0.92924577	r7935475.nex	r2714579.log	r4275673.tre
1069-11140	3a	100.0	HCV	0.9395838	r363100.nex	r4915220.log	r6182964.tre
3775-11465	3a	100.0	HCV	0.93508977	r6627691.nex	r3770629.log	r1508313.tre
1065-11243	3a	100.0	HCV	0.93395525	r2754181.nex	r1532774.log	r9524087.tre
8670-11305	3a	100.0	HCV	0.92132086	r1220343.nex	r4007992.log	r341786.tre
0617-11294	3a	100.0	HCV	0.9295103	r2982774.nex	r3021011.log	r8773628.tre
6214-11005	2b	100.0	HCV	0.7688246	r1504677.nex	r5193746.log	r2224032.tre
2127-11058	3a	100.0	HCV	0.92922616	r3210876.nex	r5368948.log	r2645351.tre
8817-11287	3a	100.0	HCV	0.91344714	r8437546.nex	r6568820.log	r8396485.tre
8668-11574	3a	100.0	HCV	0.9269663	r570571.nex	r3961815.log	r8439923.tre
0617-11348	3a	100.0	HCV	0.94571674	r5960131.nex	r831522.log	r7671162.tre
2127-11111	3a	100.0	HCV	0.9452884	r4117926.nex	r1805076.log	r8032303.tre
8812-11397	3a	100.0	HCV	0.92865485	r9174347.nex	r4519438.log	r9615923.tre
0617-11349	3a	100.0	HCV	0.93196774	r7083232.nex	r224284.log	r3294676.tre
0057-11028	3a	100.0	HCV	0.7835821	r9969091.nex	r6334211.log	r8766350.tre
5665-11002	3a	100.0	HCV	0.9354804	r3427703.nex	r173620.log	r7929608.tre
8669-11416	3a	100.0	HCV	0.92679626	r438578.nex	r5868981.log	r6915661.tre
9901-11127	3a	100.0	HCV	0.9404156	r2419412.nex	r1207017.log	r5235255.tre
3902-11277	3a	100.0	HCV	0.9266065	r5344589.nex	r3453786.log	r4656900.tre
4472-11055	3a	100.0	HCV	0.9320903	r1777035.nex	r2455452.log	r8792919.tre
3078-11076	3a	100.0	HCV	0.91135883	r4601872.nex	r5259997.log	r6775606.tre
6214-11010	3a	100.0	HCV	0.9326678	r8791586.nex	r4801513.log	r9177685.tre
1469-11409	2b	100.0	HCV	0.769377	r6062947.nex	r2074782.log	r2771326.tre
5294-11166	3b	100.0	HCV	0.81983036	r4459979.nex	r6131209.log	r6859679.tre
0617-11407	3a	100.0	HCV	0.9315577	r4591085.nex	r3288169.log	r7521600.tre
