sequenceID	genotype	subtype	gb_isolate	gb_country_short	gb_place_sampled	gb_collection_year	gb_collection_month	gb_collection_month_day	gb_lab_construct	gb_host	gb_pubmed_id
FJ859265	6	f	-	Thailand	-	2007	-	-	false	Homo sapiens	20029811
FJ859266	6	f	-	Thailand	-	2007	-	-	false	Homo sapiens	20029811
FJ859267	6	f	-	Thailand	-	2007	-	-	false	Homo sapiens	20029811
FJ859268	6	n	-	Thailand	-	2007	-	-	false	Homo sapiens	20029811
FJ859269	6	n	-	Thailand	-	2007	-	-	false	Homo sapiens	20029811
FJ859270	6	f	-	Thailand	-	2007	-	-	false	Homo sapiens	20029811
FJ859271	6	f	-	Thailand	-	2007	-	-	false	Homo sapiens	20029811
FJ859272	6	f	-	Thailand	-	2007	-	-	false	Homo sapiens	20029811
FJ859273	6	f	-	Thailand	-	2007	-	-	false	Homo sapiens	20029811
FJ859274	6	f	-	Thailand	-	2007	-	-	false	Homo sapiens	20029811
FJ859275	6	f	-	Thailand	-	2007	-	-	false	Homo sapiens	20029811
FJ859276	6	f	-	Thailand	-	2007	-	-	false	Homo sapiens	20029811
FJ859277	6	f	-	Thailand	-	2007	-	-	false	Homo sapiens	20029811
FJ859278	6	f	-	Thailand	-	2008	-	-	false	Homo sapiens	20029811
FJ859279	6	f	-	Thailand	-	2008	-	-	false	Homo sapiens	20029811
FJ859280	6	f	-	Thailand	-	2008	-	-	false	Homo sapiens	20029811
FJ859281	6	f	-	Thailand	-	2008	-	-	false	Homo sapiens	20029811
FJ859282	6	f	-	Thailand	-	2008	-	-	false	Homo sapiens	20029811
FJ859284	6	n	-	Thailand	-	2008	-	-	false	Homo sapiens	20029811
FJ859285	6	f	-	Thailand	-	2008	-	-	false	Homo sapiens	20029811
FJ859286	6	i	-	Thailand	-	-	-	-	false	Homo sapiens	20029811
FJ859287	6	f	-	Thailand	-	-	-	-	false	Homo sapiens	20029811
FJ859288	6	f	-	Thailand	-	-	-	-	false	Homo sapiens	20029811
FJ859289	6	i	-	Thailand	-	-	-	-	false	Homo sapiens	20029811
FJ859290	6	n	-	Thailand	-	-	-	-	false	Homo sapiens	20029811
FJ859292	6	f	-	Thailand	-	2003	-	-	false	Homo sapiens	20029811
FJ859293	6	e	-	Thailand	-	2006	-	-	false	Homo sapiens	20029811
FJ859294	6	n	-	Thailand	-	2006	-	-	false	Homo sapiens	20029811
FJ859295	6	i	-	Thailand	-	2004	-	-	false	Homo sapiens	20029811
FJ859296	6	f	-	Thailand	-	2004	-	-	false	Homo sapiens	20029811
FJ859297	6	j	-	Thailand	-	2005	-	-	false	Homo sapiens	20029811
FJ859298	6	f	-	Thailand	-	2004	-	-	false	Homo sapiens	20029811
FJ859299	6	f	-	Thailand	-	2007	-	-	false	Homo sapiens	20029811
FJ859300	6	n	-	Thailand	-	2007	-	-	false	Homo sapiens	20029811
FJ859303	6	f	-	Thailand	-	2007	-	-	false	Homo sapiens	20029811
FJ859304	6	j	-	Thailand	-	2007	-	-	false	Homo sapiens	20029811
FJ859305	6	j	-	Thailand	-	2007	-	-	false	Homo sapiens	20029811
FJ859306	6	n	-	Thailand	-	2007	-	-	false	Homo sapiens	20029811
FJ859307	6	f	-	Thailand	-	2007	-	-	false	Homo sapiens	20029811
FJ859308	6	f	-	Thailand	-	2008	-	-	false	Homo sapiens	20029811
FJ859309	6	n	-	Thailand	-	2008	-	-	false	Homo sapiens	20029811
FJ859310	6	f	-	Thailand	-	2008	-	-	false	Homo sapiens	20029811
FJ859311	6	f	-	Thailand	-	2008	-	-	false	Homo sapiens	20029811
FJ859312	6	n	-	Thailand	-	2008	-	-	false	Homo sapiens	20029811
FJ859313	6	n	-	Thailand	-	2008	-	-	false	Homo sapiens	20029811
FJ859314	6	n	-	Thailand	-	2008	-	-	false	Homo sapiens	20029811
FJ859315	6	n	-	Thailand	-	2008	-	-	false	Homo sapiens	20029811
FJ859316	6	j	-	Thailand	-	2008	-	-	false	Homo sapiens	20029811
FJ859319	6	i	-	Thailand	-	2008	-	-	false	Homo sapiens	20029811
FJ859323	6	i	-	Thailand	-	2008	-	-	false	Homo sapiens	20029811
FJ859324	6	n	-	Thailand	-	2008	-	-	false	Homo sapiens	20029811
FJ859325	6	i	-	Thailand	-	2008	-	-	false	Homo sapiens	20029811
FJ859326	6	f	-	Thailand	-	2008	-	-	false	Homo sapiens	20029811
FJ859327	6	f	-	Thailand	-	2008	-	-	false	Homo sapiens	20029811
FJ859328	6	j	-	Thailand	-	2008	-	-	false	Homo sapiens	20029811
FJ859329	6	i	-	Thailand	-	2008	-	-	false	Homo sapiens	20029811
FJ859330	6	n	-	Thailand	-	2008	-	-	false	Homo sapiens	20029811
FJ859331	6	j	-	Thailand	-	2008	-	-	false	Homo sapiens	20029811
FJ859332	6	n	-	Thailand	-	2008	-	-	false	Homo sapiens	20029811
FJ859333	6	j	-	Thailand	-	2009	-	-	false	Homo sapiens	20029811
FJ859334	6	f	-	Thailand	-	2009	-	-	false	Homo sapiens	20029811
GQ205856	6	a	GZ0012	China	Guangzhou	2006	MAR	9	false	Homo sapiens	20196805
GQ205857	6	a	GZ0020	China	Guangzhou	2006	APR	2	false	Homo sapiens	20196805
GQ205858	6	a	GZ0027	China	Guangzhou	2007	JUN	22	false	Homo sapiens	20196805
GQ205859	6	a	GZ0034	China	Guangzhou	2006	JUN	23	false	Homo sapiens	20196805
GQ205860	6	a	GZ0044	China	Guangzhou	2006	AUG	31	false	Homo sapiens	20196805
GQ205861	6	a	GZ0045	China	Guangzhou	2006	AUG	31	false	Homo sapiens	20196805
GQ205862	6	a	GZ0046	China	Guangzhou	2006	AUG	31	false	Homo sapiens	20196805
GQ205863	6	a	GZ0047	China	Guangzhou	2006	SEP	25	false	Homo sapiens	20196805
GQ205864	6	a	GZ0068	China	Guangzhou	2006	AUG	27	false	Homo sapiens	20196805
GQ205865	6	a	GZ0069	China	Guangzhou	2006	AUG	28	false	Homo sapiens	20196805
GQ205866	6	a	GZ0072	China	Guangzhou	2006	AUG	26	false	Homo sapiens	20196805
GQ205867	6	a	GZ0074	China	Guangzhou	2006	NOV	28	false	Homo sapiens	20196805
GQ205868	6	a	GZ0104	China	Guangzhou	2005	APR	17	false	Homo sapiens	20196805
GQ205869	6	a	GZ0111	China	Guangzhou	2005	JAN	15	false	Homo sapiens	20196805
GQ205870	6	a	GZ0115	China	Guangzhou	2005	MAR	15	false	Homo sapiens	20196805
GQ205871	6	a	GZ0127	China	Guangzhou	2005	MAR	24	false	Homo sapiens	20196805
GQ205872	6	a	GZ0131	China	Guangzhou	2005	APR	24	false	Homo sapiens	20196805
GQ205873	6	a	GZ0144	China	Guangzhou	2005	JUN	2	false	Homo sapiens	20196805
GQ205874	6	a	GZ0152	China	Guangzhou	2005	APR	21	false	Homo sapiens	20196805
GQ205875	6	a	GZ0167	China	Guangzhou	2005	MAR	11	false	Homo sapiens	20196805
GQ205876	6	a	GZ0172	China	Guangzhou	2005	JAN	15	false	Homo sapiens	20196805
GQ205877	6	a	GZ0206	China	Guangzhou	2005	JUN	14	false	Homo sapiens	20196805
GQ205878	6	a	GZ0207	China	Guangzhou	2004	NOV	28	false	Homo sapiens	20196805
GQ205879	6	a	GZ0215	China	Guangzhou	2006	DEC	29	false	Homo sapiens	20196805
GQ205880	6	a	GZ0216	China	Guangzhou	2004	SEP	19	false	Homo sapiens	20196805
GQ205881	6	a	GZ0221	China	Guangzhou	2004	OCT	19	false	Homo sapiens	20196805
GQ205882	6	a	GZ0222	China	Guangzhou	2004	OCT	19	false	Homo sapiens	20196805
GQ205883	6	a	GZ0223	China	Guangzhou	2004	OCT	16	false	Homo sapiens	20196805
GQ205884	6	a	GZ0224	China	Guangzhou	2004	SEP	8	false	Homo sapiens	20196805
GQ205885	6	a	GZ0225	China	Guangzhou	2004	SEP	4	false	Homo sapiens	20196805
GQ205886	6	a	GZ0228	China	Guangzhou	2004	OCT	19	false	Homo sapiens	20196805
GQ205887	6	a	GZ0247	China	Guangzhou	2004	OCT	19	false	Homo sapiens	20196805
GQ205888	6	a	GZ0253	China	Guangzhou	2004	AUG	27	false	Homo sapiens	20196805
GQ205889	6	a	GZ0256	China	Guangzhou	2004	OCT	19	false	Homo sapiens	20196805
GQ205890	6	a	GZ0261	China	Guangzhou	2004	OCT	5	false	Homo sapiens	20196805
GQ205891	6	a	GZ0266	China	Guangzhou	2004	AUG	31	false	Homo sapiens	20196805
GQ205892	6	a	GZ0270	China	Guangzhou	2005	JUN	27	false	Homo sapiens	20196805
GQ205893	6	a	GZ0307	China	Guangzhou	2004	AUG	1	false	Homo sapiens	20196805
GQ205894	6	a	GZ0309	China	Guangzhou	2007	OCT	12	false	Homo sapiens	20196805
GQ205895	6	a	GZ0311	China	Guangzhou	2004	AUG	2	false	Homo sapiens	20196805
GQ205896	6	a	GZ0313	China	Guangzhou	2004	AUG	14	false	Homo sapiens	20196805
GQ205897	6	a	GZ0316	China	Guangzhou	2004	AUG	12	false	Homo sapiens	20196805
GQ205898	6	a	GZ0329	China	Guangzhou	2004	AUG	1	false	Homo sapiens	20196805
GQ205899	6	a	GZ0334	China	Guangzhou	2004	JUL	18	false	Homo sapiens	20196805
GQ205900	6	a	GZ0343	China	Guangzhou	2004	AUG	8	false	Homo sapiens	20196805
GQ205901	6	a	GZ0344	China	Guangzhou	2007	MAR	22	false	Homo sapiens	20196805
GQ205902	6	a	GZ0351	China	Guangzhou	2004	AUG	4	false	Homo sapiens	20196805
GQ205903	6	a	GZ0354	China	Guangzhou	2004	JUL	29	false	Homo sapiens	20196805
GQ205904	6	a	GZ0364	China	Guangzhou	2004	AUG	1	false	Homo sapiens	20196805
GQ205905	6	a	GZ0366	China	Guangzhou	2004	JUL	9	false	Homo sapiens	20196805
GQ205906	6	a	GZ0367	China	Guangzhou	2004	JUL	31	false	Homo sapiens	20196805
GQ205907	6	a	GZ0403	China	Guangzhou	2005	AUG	18	false	Homo sapiens	20196805
GQ205908	6	a	GZ0404	China	Guangzhou	2005	AUG	2	false	Homo sapiens	20196805
GQ205909	6	a	GZ0411	China	Guangzhou	2005	SEP	6	false	Homo sapiens	20196805
GQ205910	6	a	GZ0420	China	Guangzhou	2005	JUN	11	false	Homo sapiens	20196805
GQ205911	6	a	GZ0447	China	Guangzhou	2005	AUG	3	false	Homo sapiens	20196805
GQ205912	6	a	GZ0453	China	Guangzhou	2005	AUG	6	false	Homo sapiens	20196805
GQ205913	6	a	GZ0455	China	Guangzhou	2005	JUN	9	false	Homo sapiens	20196805
GQ205914	6	a	GZ0458	China	Guangzhou	2005	JUN	19	false	Homo sapiens	20196805
GQ205915	6	a	GZ0461	China	Guangzhou	2005	JUL	18	false	Homo sapiens	20196805
GQ205916	6	a	GZ0462	China	Guangzhou	2005	JUL	22	false	Homo sapiens	20196805
GQ205917	6	a	GZ0465	China	Guangzhou	2005	AUG	14	false	Homo sapiens	20196805
GQ205918	6	a	GZ0466	China	Guangzhou	2005	AUG	5	false	Homo sapiens	20196805
GQ205919	6	a	GZ0472	China	Guangzhou	2005	SEP	6	false	Homo sapiens	20196805
GQ205920	6	a	GZ0510	China	Guangzhou	2005	SEP	4	false	Homo sapiens	20196805
GQ205921	6	a	GZ0517	China	Guangzhou	2005	AUG	26	false	Homo sapiens	20196805
GQ205922	6	a	GZ0532	China	Guangzhou	2005	OCT	21	false	Homo sapiens	20196805
GQ205923	6	a	GZ0534	China	Guangzhou	2005	AUG	27	false	Homo sapiens	20196805
GQ205924	6	a	GZ0537	China	Guangzhou	2005	OCT	2	false	Homo sapiens	20196805
GQ205925	6	a	GZ0545	China	Guangzhou	2005	SEP	6	false	Homo sapiens	20196805
GQ205926	6	a	GZ0546	China	Guangzhou	2005	SEP	3	false	Homo sapiens	20196805
GQ205927	6	a	GZ0551	China	Guangzhou	2005	SEP	2	false	Homo sapiens	20196805
GQ205928	6	a	GZ0552	China	Guangzhou	2005	AUG	24	false	Homo sapiens	20196805
GQ205929	6	a	GZ0565	China	Guangzhou	2005	DEC	1	false	Homo sapiens	20196805
GQ205930	6	a	GZ0569	China	Guangzhou	2005	SEP	1	false	Homo sapiens	20196805
GQ205931	6	a	GZA0001	China	Guangzhou	2006	NOV	9	false	Homo sapiens	20196805
GQ205932	6	a	GZB0002	China	Guangzhou	2006	NOV	11	false	Homo sapiens	20196805
GQ205933	6	a	GZC0003	China	Guangzhou	2006	MAR	9	false	Homo sapiens	20196805
GQ205934	6	a	GZE0003	China	Guangzhou	2006	JAN	31	false	Homo sapiens	20196805
GQ206048	6	n	GZ0203	China	Guangzhou	2004	DEC	29	false	Homo sapiens	20196805
GQ206061	6	e	GZ0355	China	Guangzhou	2004	JUL	26	false	Homo sapiens	20196805
GQ206083	6	n	GZF0006	China	Guangzhou	2006	FEB	24	false	Homo sapiens	20196805
GQ285041	6	n	KM115	China	-	2005	-	-	false	Homo sapiens	-
GQ285042	6	n	NK032	China	-	2002	-	-	false	Homo sapiens	-
GQ285043	6	n	NK047	China	-	2004	-	-	false	Homo sapiens	-
GQ285044	6	-	NK001	China	-	2004	-	-	false	Homo sapiens	-
GQ285045	6	-	NK006	China	-	2004	-	-	false	Homo sapiens	-
GU085488	6	a	6	France	-	2008	-	-	false	Homo sapiens	19944069
GU186925	6	r	CBD141	Cambodia	-	2007	-	-	false	Homo sapiens	20689311
GU186933	6	r	CBD733	Cambodia	-	2008	-	-	false	Homo sapiens	20689311
GU186937	6	m	MM1164	Myanmar	-	2008	-	-	false	Homo sapiens	20689311
GU945430	6	a	-	-	-	-	-	-	false	-	20164226
GU945433	6	a	-	-	-	-	-	-	false	-	20164226
GU945452	6	a	-	-	-	-	-	-	false	-	20164226
GU945453	6	a	-	-	-	-	-	-	false	-	20164226
HC186783	6	a	-	-	-	-	-	-	true	-	-
HC186784	6	-	-	-	-	-	-	-	true	-	-
HC186810	6	g	-	-	-	-	-	-	true	-	-
HC186812	6	b	-	-	-	-	-	-	true	-	-
HC186813	6	d	-	-	-	-	-	-	true	-	-
HC186814	6	k	-	-	-	-	-	-	true	-	-
HC186815	6	h	-	-	-	-	-	-	true	-	-
HC186820	6	p	-	-	-	-	-	-	true	-	-
HC186838	6	a	-	-	-	-	-	-	true	-	-
HC494119	6	a	-	-	-	-	-	-	true	-	-
HC494120	6	-	-	-	-	-	-	-	true	-	-
HC494146	6	g	-	-	-	-	-	-	true	-	-
HC494148	6	b	-	-	-	-	-	-	true	-	-
HC494149	6	d	-	-	-	-	-	-	true	-	-
HC494150	6	k	-	-	-	-	-	-	true	-	-
HC494151	6	h	-	-	-	-	-	-	true	-	-
HC494156	6	-	-	-	-	-	-	-	true	-	-
HC494174	6	a	-	-	-	-	-	-	true	-	-
HE580284	6	-	-	Lao	-	-	-	-	false	-	21958219
HE580285	6	-	-	Lao	-	-	-	-	false	-	21958219
HE580286	6	-	-	Lao	-	-	-	-	false	-	21958219
HE580287	6	-	-	Lao	-	-	-	-	false	-	21958219
HE580288	6	xd	-	Lao	-	-	-	-	false	-	21958219
HE580289	6	-	-	Lao	-	-	-	-	false	-	21958219
HE580295	6	-	-	Lao	-	-	-	-	false	-	21958219
HE580296	6	-	-	Lao	-	-	-	-	false	-	21958219
HE580297	6	-	-	Lao	-	-	-	-	false	-	21958219
HE580298	6	-	-	Lao	-	-	-	-	false	-	21958219
HE580299	6	-	-	Lao	-	-	-	-	false	-	21958219
HE580300	6	-	-	Lao	-	-	-	-	false	-	21958219
HE580301	6	-	-	Lao	-	-	-	-	false	-	21958219
HE580302	6	-	-	Lao	-	-	-	-	false	-	21958219
HE580303	6	xd	-	Lao	-	-	-	-	false	-	21958219
HE580304	6	xd	-	Lao	-	-	-	-	false	-	21958219
HE580305	6	xd	-	Lao	-	-	-	-	false	-	21958219
HE580306	6	xd	-	Lao	-	-	-	-	false	-	21958219
HE580307	6	xd	-	Lao	-	-	-	-	false	-	21958219
HE580308	6	xd	-	Lao	-	-	-	-	false	-	21958219
HE580309	6	xd	-	Lao	-	-	-	-	false	-	21958219
HE580310	6	xd	-	Lao	-	-	-	-	false	-	21958219
HE580311	6	h	-	Lao	-	-	-	-	false	-	21958219
HE580312	6	-	-	Lao	-	-	-	-	false	-	21958219
HE580313	6	-	-	Lao	-	-	-	-	false	-	21958219
HE580314	6	-	-	Lao	-	-	-	-	false	-	21958219
HE580315	6	-	-	Lao	-	-	-	-	false	-	21958219
HE580316	6	-	-	Lao	-	-	-	-	false	-	21958219
HE580318	6	-	-	Lao	-	-	-	-	false	-	21958219
HE580319	6	-	-	Lao	-	-	-	-	false	-	21958219
HE580320	6	-	-	Lao	-	-	-	-	false	-	21958219
HE580321	6	-	-	Lao	-	-	-	-	false	-	21958219
HE580322	6	-	-	Lao	-	-	-	-	false	-	21958219
HE580323	6	-	-	Lao	-	-	-	-	false	-	21958219
HE580324	6	n	-	Lao	-	-	-	-	false	-	21958219
HE580325	6	-	-	Lao	-	-	-	-	false	-	21958219
HE580326	6	-	-	Lao	-	-	-	-	false	-	21958219
HE580339	6	q	-	Lao	-	-	-	-	false	-	21958219
HE580340	6	-	-	Lao	-	-	-	-	false	-	21958219
HE580341	6	-	-	Lao	-	-	-	-	false	-	21958219
HE580342	6	-	-	Lao	-	-	-	-	false	-	21958219
HE580343	6	-	-	Lao	-	-	-	-	false	-	21958219
HE580344	6	xb	-	Lao	-	-	-	-	false	-	21958219
HE580345	6	-	-	Lao	-	-	-	-	false	-	21958219
HE580346	6	-	-	Lao	-	-	-	-	false	-	21958219
HE580347	6	-	-	Lao	-	-	-	-	false	-	21958219
HE580348	6	-	-	Lao	-	-	-	-	false	-	21958219
HE580349	6	-	-	Lao	-	-	-	-	false	-	21958219
HE580350	6	-	-	Lao	-	-	-	-	false	-	21958219
HE580351	6	-	-	Lao	-	-	-	-	false	-	21958219
HE580352	6	-	-	Lao	-	-	-	-	false	-	21958219
HE580353	6	-	-	Lao	-	-	-	-	false	-	21958219
HM042025	6	f	THCM-R18/04	Thailand	-	2004	-	-	false	Homo sapiens	20955493
HM042026	6	f	THCM-R19/04	Thailand	-	2004	-	-	false	Homo sapiens	20955493
HM042027	6	f	THCM-L3/04	Thailand	-	2004	-	-	false	Homo sapiens	20955493
HM042028	6	f	THCM-R4/06	Thailand	-	2006	-	-	false	Homo sapiens	20955493
HM042029	6	f	THCM-N2/07	Thailand	-	2007	-	-	false	Homo sapiens	20955493
HM042030	6	f	THCM-L3/07	Thailand	-	2007	-	-	false	Homo sapiens	20955493
HM042031	6	f	THCM-R10/07	Thailand	-	2007	-	-	false	Homo sapiens	20955493
HM042032	6	f	THCM-R11/07	Thailand	-	2007	-	-	false	Homo sapiens	20955493
HM042033	6	f	THCM-N3/07	Thailand	-	2007	-	-	false	Homo sapiens	20955493
HM042034	6	f	THCM-L4/07	Thailand	-	2007	-	-	false	Homo sapiens	20955493
HM042035	6	f	THCM-L2/08	Thailand	-	2008	-	-	false	Homo sapiens	20955493
HM042036	6	f	THCM-R11/08	Thailand	-	2008	-	-	false	Homo sapiens	20955493
HM042037	6	f	THCM-R12/08	Thailand	-	2008	-	-	false	Homo sapiens	20955493
HM042085	6	f	THCM-R18/04	Thailand	-	2004	-	-	false	Homo sapiens	20955493
HM042086	6	f	THCM-R19/04	Thailand	-	2004	-	-	false	Homo sapiens	20955493
HM042087	6	f	THCM-L3/04	Thailand	-	2004	-	-	false	Homo sapiens	20955493
HM042088	6	f	THCM-R4/06	Thailand	-	2006	-	-	false	Homo sapiens	20955493
HM042089	6	f	THCM-N2/07	Thailand	-	2007	-	-	false	Homo sapiens	20955493
HM042090	6	f	THCM-L3/07	Thailand	-	2007	-	-	false	Homo sapiens	20955493
HM042091	6	f	THCM-R10/07	Thailand	-	2007	-	-	false	Homo sapiens	20955493
HM042092	6	f	THCM-R11/07	Thailand	-	2007	-	-	false	Homo sapiens	20955493
HM042093	6	f	THCM-N3/07	Thailand	-	2007	-	-	false	Homo sapiens	20955493
HM042094	6	f	THCM-L2/08	Thailand	-	2008	-	-	false	Homo sapiens	20955493
HM042095	6	f	THCM-R11/08	Thailand	-	2008	-	-	false	Homo sapiens	20955493
HM042096	6	f	THCM-R12/08	Thailand	-	2008	-	-	false	Homo sapiens	20955493
HQ229361	6	n	CUTH306	Thailand	-	2008	-	-	false	Homo sapiens	-
HQ229450	6	n	CUTH440	Thailand	-	2009	-	-	false	Homo sapiens	-
HQ318826	6	a	09CNJSZJ238	China	-	2009	-	-	false	Homo sapiens	21304823
HQ318827	6	e	09CNJSZJ019	China	-	2009	-	-	false	Homo sapiens	21304823
HQ318828	6	n	09CNJSZJ252	China	-	2009	-	-	false	Homo sapiens	21304823
HQ318844	6	e	09CNJSZJ029	China	-	2009	-	-	false	Homo sapiens	21304823
HQ318854	6	e	09CNJSZJ088	China	-	2009	-	-	false	Homo sapiens	21304823
HQ318856	6	e	09CNJSZJ133	China	-	2009	-	-	false	Homo sapiens	21304823
HQ318914	6	a	09CNJSZJ238	China	-	2009	-	-	false	Homo sapiens	21304823
HQ318915	6	a	09CNJSZJ248	China	-	2009	-	-	false	Homo sapiens	21304823
HQ318916	6	a	09CNJSZJ059	China	-	2009	-	-	false	Homo sapiens	21304823
HQ318917	6	a	09CNJSZJ084	China	-	2009	-	-	false	Homo sapiens	21304823
HQ318918	6	a	09CNJSZJ234	China	-	2009	-	-	false	Homo sapiens	21304823
HQ318919	6	a	09CNJSZJ098	China	-	2009	-	-	false	Homo sapiens	21304823
HQ318920	6	n	09CNJSZJ252	China	-	2009	-	-	false	Homo sapiens	21304823
HQ318921	6	n	09CNJSZJ272	China	-	2009	-	-	false	Homo sapiens	21304823
HQ318922	6	e	09CNJSZJ007	China	-	2009	-	-	false	Homo sapiens	21304823
HQ318923	6	e	09CNJSZJ088	China	-	2009	-	-	false	Homo sapiens	21304823
HQ318924	6	e	09CNJSZJ019	China	-	2009	-	-	false	Homo sapiens	21304823
HQ318925	6	e	09CNJSZJ075	China	-	2009	-	-	false	Homo sapiens	21304823
HQ318926	6	e	09CNJSZJ029	China	-	2009	-	-	false	Homo sapiens	21304823
HQ318927	6	e	09CNJSZJ133	China	-	2009	-	-	false	Homo sapiens	21304823
HQ450380	6	u	MAL18	Malaysia	-	2007	-	-	false	Homo sapiens	-
HQ639936	6	a	WYHCV2	China	Hunan province	-	-	-	false	Homo sapiens	-
HQ912954	6	a	PR58	China	-	2008	DEC	28	false	Homo sapiens	-
HQ912955	6	a	PR144	China	-	2008	DEC	11	false	Homo sapiens	-
HW467945	6	b	-	-	-	-	-	-	true	-	-
JA212568	6	-	-	-	-	-	-	-	true	-	-
JA212569	6	-	-	-	-	-	-	-	true	-	-
JE984233	6	a	-	-	-	-	-	-	true	-	-
JF720958	6	a	SW08	China	-	-	-	-	false	Homo sapiens	22253686
JF720959	6	a	SW09	China	-	-	-	-	false	Homo sapiens	22253686
JF720960	6	a	SW105	China	-	-	-	-	false	Homo sapiens	22253686
JF720961	6	a	SW108	China	-	-	-	-	false	Homo sapiens	22253686
JF720962	6	a	SW109-1	China	-	-	-	-	false	Homo sapiens	22253686
JF720963	6	a	SW11	China	-	-	-	-	false	Homo sapiens	22253686
JF720964	6	a	SW110	China	-	-	-	-	false	Homo sapiens	22253686
JF720965	6	a	SW111	China	-	-	-	-	false	Homo sapiens	22253686
JF720966	6	a	SW113	China	-	-	-	-	false	Homo sapiens	22253686
JF720967	6	a	SW114	China	-	-	-	-	false	Homo sapiens	22253686
JF720968	6	a	SW116	China	-	-	-	-	false	Homo sapiens	22253686
JF720969	6	a	SW117	China	-	-	-	-	false	Homo sapiens	22253686
JF720970	6	a	SW118	China	-	-	-	-	false	Homo sapiens	22253686
JF720971	6	a	SW122-2	China	-	-	-	-	false	Homo sapiens	22253686
JF720972	6	a	SW123	China	-	-	-	-	false	Homo sapiens	22253686
JF720973	6	a	SW126	China	-	-	-	-	false	Homo sapiens	22253686
JF720974	6	a	SW129	China	-	-	-	-	false	Homo sapiens	22253686
JF720975	6	a	SW131	China	-	-	-	-	false	Homo sapiens	22253686
JF720976	6	a	SW135	China	-	-	-	-	false	Homo sapiens	22253686
JF720977	6	a	SW136	China	-	-	-	-	false	Homo sapiens	22253686
JF720978	6	a	SW14	China	-	-	-	-	false	Homo sapiens	22253686
JF720979	6	a	SW140	China	-	-	-	-	false	Homo sapiens	22253686
JF720980	6	a	SW143	China	-	-	-	-	false	Homo sapiens	22253686
JF720981	6	a	SW144	China	-	-	-	-	false	Homo sapiens	22253686
JF720982	6	a	SW147	China	-	-	-	-	false	Homo sapiens	22253686
JF720983	6	a	SW149	China	-	-	-	-	false	Homo sapiens	22253686
JF720984	6	a	SW15	China	-	-	-	-	false	Homo sapiens	22253686
JF720985	6	a	SW150	China	-	-	-	-	false	Homo sapiens	22253686
JF720986	6	a	SW16	China	-	-	-	-	false	Homo sapiens	22253686
JF720987	6	a	SW169	China	-	-	-	-	false	Homo sapiens	22253686
JF720988	6	a	SW172	China	-	-	-	-	false	Homo sapiens	22253686
JF720989	6	a	SW173	China	-	-	-	-	false	Homo sapiens	22253686
JF720990	6	a	SW174	China	-	-	-	-	false	Homo sapiens	22253686
JF720991	6	a	SW176	China	-	-	-	-	false	Homo sapiens	22253686
JF720992	6	a	SW178	China	-	-	-	-	false	Homo sapiens	22253686
JF720993	6	a	SW179-1	China	-	-	-	-	false	Homo sapiens	22253686
JF720994	6	a	SW179-2	China	-	-	-	-	false	Homo sapiens	22253686
JF720995	6	a	SW181	China	-	-	-	-	false	Homo sapiens	22253686
JF720996	6	a	SW182	China	-	-	-	-	false	Homo sapiens	22253686
JF720997	6	a	SW186	China	-	-	-	-	false	Homo sapiens	22253686
JF720998	6	a	SW188	China	-	-	-	-	false	Homo sapiens	22253686
JF720999	6	a	SW198	China	-	-	-	-	false	Homo sapiens	22253686
JF721000	6	a	SW20	China	-	-	-	-	false	Homo sapiens	22253686
JF721001	6	a	SW200	China	-	-	-	-	false	Homo sapiens	22253686
JF721002	6	a	SW22	China	-	-	-	-	false	Homo sapiens	22253686
JF721003	6	a	SW23	China	-	-	-	-	false	Homo sapiens	22253686
JF721004	6	a	SW24	China	-	-	-	-	false	Homo sapiens	22253686
JF721005	6	a	SW27	China	-	-	-	-	false	Homo sapiens	22253686
JF721006	6	a	SW29	China	-	-	-	-	false	Homo sapiens	22253686
JF721007	6	a	SW33-1	China	-	-	-	-	false	Homo sapiens	22253686
JF721008	6	a	SW34	China	-	-	-	-	false	Homo sapiens	22253686
JF721009	6	a	SW35	China	-	-	-	-	false	Homo sapiens	22253686
JF721010	6	a	SW40	China	-	-	-	-	false	Homo sapiens	22253686
JF721011	6	a	SW41	China	-	-	-	-	false	Homo sapiens	22253686
JF721012	6	a	SW42	China	-	-	-	-	false	Homo sapiens	22253686
JF721013	6	a	SW43	China	-	-	-	-	false	Homo sapiens	22253686
JF721014	6	a	SW49	China	-	-	-	-	false	Homo sapiens	22253686
JF721015	6	a	SW50	China	-	-	-	-	false	Homo sapiens	22253686
JF721016	6	a	SW52	China	-	-	-	-	false	Homo sapiens	22253686
JF721017	6	a	SW55	China	-	-	-	-	false	Homo sapiens	22253686
JF721018	6	a	SW58	China	-	-	-	-	false	Homo sapiens	22253686
JF721019	6	a	SW61	China	-	-	-	-	false	Homo sapiens	22253686
JF721020	6	a	SW62-1	China	-	-	-	-	false	Homo sapiens	22253686
JF721021	6	a	SW64-1	China	-	-	-	-	false	Homo sapiens	22253686
JF721022	6	a	SW65	China	-	-	-	-	false	Homo sapiens	22253686
JF721023	6	a	SW66	China	-	-	-	-	false	Homo sapiens	22253686
JF721024	6	a	SW73	China	-	-	-	-	false	Homo sapiens	22253686
JF721025	6	a	SW74	China	-	-	-	-	false	Homo sapiens	22253686
JF721026	6	a	SW75	China	-	-	-	-	false	Homo sapiens	22253686
