sequenceID	gb_isolate	gb_country_short_corrected	gb_place_sampled_corrected	gb_collection_year_corrected	gb_lab_construct_corrected	gb_host_corrected	gb_pubmed_id_corrected
KJ678677							
KJ678678							
KJ678679							
KJ678680							
KJ678681							
KJ678682							
KJ678683							
KJ678684							
KJ678685							
KJ678686							
KJ678687							
KJ678688							
KJ678689							
KJ678690							
KJ678691							
KJ678692							
KJ678693							
KJ678694							
KJ678695							
KJ678696							
KJ678697							
KJ678698							
KJ678699							
KJ678700							
KJ678701							
KJ678702							
KJ678703							
KJ678704							
KJ678705							
KJ678706							
KJ678707							
KJ678708							
KJ678709							
KJ678710							
KJ678711							
KJ678712							
KJ678713							
KJ678714							
KJ678715							
KJ678716							
KJ678717							
KJ678718							
KJ678719							
KJ678720							
KJ678721							
KJ678722							
KJ678723							
KJ678724							
KJ678725							
KJ678726							
KJ678727							
KJ678728							
KJ678729							
KJ678730							
KJ678731							
KJ678732							
KJ678740							
KJ678742							
KJ678743							
KJ678744							
KJ678745							
KJ678746							
KJ678747							
KJ678748							
KJ678749							
KJ678750							
KJ678751							
KJ678752							
KJ678753							
KJ678754							
KJ678755							
KJ678756							
KJ678757							
KJ678758							
KJ678759							
KJ678760							
KJ678761							
KJ678762							
KJ678763							
KJ678764							
KJ678765							
KJ678766							
KJ678767							
KJ678768							
KJ678769							
KJ678770							
KJ678771							
KJ678772							
KJ678773							
KJ678774							
KJ678775							
KJ678776							
KJ678777							
KJ678778							
KJ678779							
KJ678780							
KJ678781							
KJ678782							
KJ678783							
KJ678784							
KJ678785							
KJ678786							
KJ678787							
KJ678788							
KJ678789							
KJ678790							
KJ678791							
KJ678792							
KJ678793							
KJ678794							
KJ678795							
KJ678796							
KJ678797							
KJ678798							
KJ678799							
KJ678800							
KJ678801							
KJ678802							
KJ678803							
KJ678804							
KJ678805							
KJ678806							
KJ678807							
KJ678808							
KJ678809							
KJ678810							
KJ678811							
KJ678812							
KJ678813							
KJ678814							
KJ678815							
KJ678816							
KJ678817							
KJ700856							
KJ700857							
KJ700858							
KJ700859							
KJ719455							
KM246371							
KM246372							
KM246373							
KM246374							
KM246391							
KM246392							
KM246393							
KM252779							
KM252780							
KM252781							
KM252782							
KM252783							
KM252784							
KM252785							
KM252786							
KM252787							
KM252788							
KM252789							
KM252790							
KM252791							
KM252792							
KM252793							
KM252794							
KM252795							
KM252796							
KM252797							
KM252799							
KM252800							
KM284925							
KM284926							
KM284927							
KM284928							
KM284929							
KM284930							
KM284931							
KM284932							
KM284933							
KM284934							
KM284935							
KM284936							
KM284937							
KM284938							
KM284939							
KM284940							
KM284941							
KM284942							
KM284943							
KM284944							
KM284945							
KM284946							
KM284947							
KM284948							
KM284949							
KM284950							
KM284951							
KM284952							
KM284953							
KM284954							
KM284955							
KM284956							
KM284957							
KM284958							
KM284959							
KM284960							
KM284961							
KM284962							
KM284963							
KM284964							
KM284965							
KM284966							
KM284967							
KM284968							
KM284969							
KM284970							
KM284971							
KM284972							
KM284973							
KM284974							
KM284975							
KM284976							
KM284977							
KM285079							
KM285080							
KM285081							
KM285082							
KM285083							
KM285084							
KM285085							
KM285086							
KM285087							
KM285088							
KM285089							
KM285090							
KM285091							
KM285092							
KM285093							
KM285094							
KM285095							
KM285096							
KM285097							
KM285098							
KM285099							
KM285100							
KM285101							
KM285102							
KM285103							
KM285104							
KM285105							
KM285106							
KM285107							
KM285108							
KM285109							
KM285110							
KM285111							
KM285112							
KM285113							
KM285114							
KM285115							
KM285116							
KM285117							
KM285118							
KM285119							
KM285120							
KM285121							
KM285122							
KM285123							
KM285124							
KM504106							
KM504107							
KM504108							
KM504109							
KM504110							
KM504111							
KM504113							
KM504114							
KM504115							
KM504116							
KM504117							
KM504119							
KM504120							
KM504121							
KM504122							
KM504123							
KM504124							
KM587627							
KM587628							
KM587629							
KM587630							
KM589435							
KM589436							
KM589437							
KM589438							
KM589439							
KM589440							
KM589441							
KM589442							
KM589443							
KM589444							
KM589445							
KM589446							
KM589447							
KM589448							
KM589449							
KM589450							
KM589451							
KM589452							
KP162370							
KP162384							
KP162569							
KP162619							
KP162623							
KP162631							
KP162848							
KP163010							
KP163019							
KR095342							
KR095343							
KR095344							
KR095345							
KR095346							
KR095347							
KR095348							
KR095349							
KR095350							
KR095351							
KR095352							
KR095353							
KR095354							
KR108496							
KR108497							
KR108622							
KR108623							
KT162591							
KT162592							
KT162593							
KT162594							
KT162595							
KT162596							
KT162597							
KT162598							
KT162599							
KT162600							
KT162601							
KT162602							
KT162603							
KT162604							
KT162605							
KT162606							
KT162607							
KT162608							
KT162609							
KT162610							
KT162611							
KT162612							
KT162613							
KT162614							
KT162615							
KT162616							
KT162617							
KT162618							
KT162619							
KT162620							
KT162621							
KT162622							
KT162623							
KT162624							
KT162625							
KT162626							
KT162627							
KT162628							
KT162629							
KT162630							
KT162631							
KT162632							
KT162633							
KT162634							
KT162635							
KT162636							
KT162637							
KT162638							
KT162639							
KT162640							
KT162641							
KT162642							
KT162643							
KT162644							
KT162645							
KT162646							
KT162647							
KT162648							
KT162649							
KT162650							
KT162651							
KT162652							
KT162653							
KT162654							
KT162655							
KT162656							
KT162657							
KT162658							
KT162659							
KT162660							
KT162661							
KT162662							
KT162663							
KT162664							
KT162665							
KT162666							
KT162667							
KT162668							
KT162669							
KT162670							
KT162671							
KT162672							
KT162673							
KT162674							
KT162675							
KT162676							
KT162677							
KT162678							
KT162679							
KT162680							
KT162681							
KT162682							
KT162683							
KT162684							
KT162685							
KT162686							
KT162687							
KT162688							
KT162689							
KT162690							
KT162691							
KT162692							
KT162693							
KT162694							
KT162695							
KT162696							
KT162697							
KT162698							
KT162699							
KT162700							
KT162701							
KT162702							
KT162703							
KT162704							
KT162705							
KT162706							
KT162707							
KT162708							
KT162709							
KT162710							
KT162711							
KT162712							
KT162713							
KT162714							
KT162715							
KT162716							
KT162717							
KT162718							
KT162719							
KT162720							
KT162721							
KT162722							
KT162723							
KT162724							
KT162725							
KT162726							
KT162727							
KT162728							
KT162729							
KT162730							
KT162731							
KT162732							
KT162733							
KT162734							
KT162735							
KT162736							
KT162737							
KT162738							
KT162739							
KT162740							
KT162741							
KT162742							
KT162743							
KT162744							
KT162745							
KT162746							
KT162747							
KT162748							
KT162749							
KT162750							
KT162751							
KT162752							
KT162753							
KT162754							
KT162755							
KT162756							
KT162757							
KT162758							
KT162759							
KT162760							
KT162761							
KT162762							
KT162763							
KT162764							
KT162765							
KT162766							
KT162767							
KT162768							
KT162769							
KT162770							
KT162771							
KT162772							
KT162773							
KT162774							
KT162775							
KT162776							
KT162777							
KT162778							
KT162779							
KT162780							
KT162781							
KT162782							
KT162783							
KT162784							
KT162785							
KT162786							
KT162787							
KT162788							
KT162789							
KT162790							
KT162791							
KT162792							
KT162793							
KT162794							
KT162795							
KT162796							
KT162797							
KT162798							
KT162799							
KT162800							
KT162801							
KT162802							
KT162803							
KT162804							
KT162805							
KT162806							
KT162807							
KT162808							
KT162809							
KT162810							
KT162811							
KT162812							
KT162813							
KT162814							
KT162815							
KT162816							
KT162817							
KT162818							
KT162819							
KT162820							
KT162821							
KT162822							
KT162823							
KT162824							
KT162825							
KT162826							
KT162827							
KT162828							
KT162829							
KT162830							
KT162831							
KT162832							
KT162833							
KT162834							
KT162835							
KT162836							
KT162837							
KT162838							
KT162839							
KT162840							
KT162841							
KT162842							
KT162843							
KT162844							
KT162845							
KT162846							
KT162847							
KT162848							
KT162849							
KT162850							
KT162851							
KT162852							
KT162853							
KT162854							
KT162855							
KT162856							
KT162857							
KT162858							
KT162859							
KT162860							
KT162861							
KT162862							
KT162863							
KT162864							
KT162865							
KT162866							
KT162867							
KT162868							
KT162869							
KT162870							
KT162871							
KT162872							
KT162873							
KT162874							
KT162875							
KT162876							
KT162877							
KT162878							
KT162879							
KT162880							
KT162881							
KT162882							
KT162883							
KT162884							
KT162885							
KT162886							
KT162887							
KT162888							
KT162889							
KT162890							
KT162891							
KT162892							
KT162893							
KT162894							
KT162895							
KT162896							
KT162897							
KT162898							
KT162899							
KT162900							
KT162901							
KT162902							
KT162903							
KT162904							
KT162905							
KT162906							
KT162907							
KT162908							
KT162909							
KT162910							
KT162911							
KT162912							
KT162913							
KT162914							
KT162915							
KT190706							
KT190707							
KT233290							
KT233295							
KT233299							
KT233300							
KT735397							
KT735399							
KT735401							
KT735402							
KT735405							
KT735406							
KT735411							
KT735417							
KT735422							
KT735424							
KT735430							
KT735431							
KT735433							
KT735438							
KT735442							
KT735445							
KT735447							
KT735448							
KT735451							
KT735457							
KT735460							
KT735461							
KT735463							
KT735467							
KT735469							
KT735470							
KT735473							
KT735475							
KT735480							
KT735482							
KT735498							
KT735500							
KT735503							
KT735525							
KT735526							
KT735528							
KT735530							
KT735532							
KT735539							
KT735549							
KT735554							
KT735560							
KT735564							
KT735568							
KT735569							
KT735570							
KT735571							
KT735577							
KT735586							
KT735611							
KT735618							
KT735619							
KT735620							
KT735622							
KT735623							
KT735624							
KT735625							
KT735636							
KT735640							
KT735662							
KT735665							
KT735668							
KT735669							
KT735674							
KT735681							
KT735687							
KT735689							
KT735690							
KT735695							
KT735697							
KT735698							
KT735700							
KT735704							
KT735709							
KT735712							
KT735714							
KT735715							
KT735718							
KT735723							
KT735726							
KT735727							
KT735732							
KT735733							
KT735736							
KT735743							
KT735744							
KT735759							
KT735775							
KT735776							
KT735778							
KT735779							
KT735784							
KT735802							
KT735804							
KT735810							
KT735814							
KT735820							
KT735821							
KT735822							
KT735827							
KT735834							
KT735855							
KT735861							
KT735862							
KT735863							
KT735866							
KT735867							
KT735878							
KT735881							
KU285227							
KU285228							
KU871310							
KU871311							
KU879427							
KX107852							
KX107853							
KX107854							
KX107856							
KX107857							
KX107858							
KX107860							
KX107861							
KX107862							
KX107863							
KX107864							
KX107865							
KX107867							
KX107868							
KX107869							
KX107870							
KX107871							
KX107877							
KX107878							
KX107879							
KX107880							
KX107881							
KX107882							
KX107883							
KX107884							
KX107886							
KX107887							
KX107888							
KX107889							
KX107890							
KX107891							
KX107893							
KX107894							
KX107895							
KX107896							
KX107897							
KX138238							
KX138239							
KX138240							
KX138241							
KX138242							
KX138243							
KX138244							
KX138245							
KX138246							
KX138248							
KX138249							
KX345146							
KX345147							
KX345155							
KX345158							
KX345159							
KX345160							
KX345162							
KX345165							
KX345167							
KX345171							
KX345172							
KX345173							
KX345174							
KX345177							
KX345183							
KX345184							
KX345189							
KX345190							
KX345193							
KX345196							
KX345197							
KX345200							
KX345207							
KX345212							
KX345215							
KX345216							
KX345217							
KX345222							
KX345227							
KX345228							
KX345229							
KX345231							
KX345234							
KX345235							
KX345243							
KX345244							
KX345246							
KX950603							
KX950612							
KX950617							
KX950618							
KX950621							
KX950627							
KX950632							
KX950642							
KX950654							
L16634							
L38331							
L38339							
L38340							
L38341							
L38354							
NC_009827							
U10198							
U33435							
U55290							
Y12083							
