sequenceID	genotype	subtype	gb_isolate	gb_country_short_missing	gb_place_sampled_missing	gb_collection_year_missing	gb_collection_month_missing	gb_lab_construct_missing	gb_host_missing	gb_pubmed_id_missing	alternative_reference_url	Email of author
GQ205926												
GQ205927												
GQ205928												
GQ205929												
GQ205930												
GQ205931												
GQ205932												
GQ205933												
GQ205934												
GQ206048												
GQ206061												
GQ206083												
GQ285041					Kuiming		Nov					
GQ285042							Dec					
GQ285043							Mar					
GQ285044							Aug					
GQ285045							Aug					
GU085488												
GU186925												
GU186933												
GU186937												
GU945430												
GU945433												
GU945452												
GU945453												
HC186783												
HC186784												
HC186810												
HC186812												
HC186813												
HC186814												
HC186815												
HC186820												
HC186838												
HC494119												
HC494120												
HC494146												
HC494148												
HC494149												
HC494150												
HC494151												
HC494156												
HC494174												
HE580284			strain 47001						Homo sapiens			
HE580285			strain 47005						Homo sapiens			
HE580286			strain 47006						Homo sapiens			
HE580287			strain 47007						Homo sapiens			
HE580288			strain 47011						Homo sapiens			
HE580289			strain 47013						Homo sapiens			
HE580295			strain 47017						Homo sapiens			
HE580296			strain 47022						Homo sapiens			
HE580297			strain 47035						Homo sapiens			
HE580298			strain 47036						Homo sapiens			
HE580299			strain 47039						Homo sapiens			
HE580300			strain 47041						Homo sapiens			
HE580301			strain 47042						Homo sapiens			
HE580302			strain 47043						Homo sapiens			
HE580303			strain 47049 clone a						Homo sapiens			
HE580304			strain 47049 clone b						Homo sapiens			
HE580305			strain 47049 clone c						Homo sapiens			
HE580306			strain 47049 clone d						Homo sapiens			
HE580307			strain 47049 clone f						Homo sapiens			
HE580308			strain 47049 clone g						Homo sapiens			
HE580309			strain 47049 clone h						Homo sapiens			
HE580310			strain 47049 clone i						Homo sapiens			
HE580311			strain 47052						Homo sapiens			
HE580312			strain 47053 clone c						Homo sapiens			
HE580313			strain 47053 clone d						Homo sapiens			
HE580314			strain 47053 clone c						Homo sapiens			
HE580315			strain 47053 clone d						Homo sapiens			
HE580316			strain 47053 clone 1						Homo sapiens			
HE580318			strain 47056						Homo sapiens			
HE580319			strain 47058						Homo sapiens			
HE580320			strain 47059						Homo sapiens			
HE580321			strain 47063						Homo sapiens			
HE580322			strain 47066						Homo sapiens			
HE580323			strain 47067						Homo sapiens			
HE580324			strain 47069						Homo sapiens			
HE580325			strain 47071						Homo sapiens			
HE580326			strain 47079						Homo sapiens			
HE580339			strain 47087						Homo sapiens			
HE580340			strain 47096						Homo sapiens			
HE580341			strain 47098 clone 1						Homo sapiens			
HE580342			strain 47098 clone 10						Homo sapiens			
HE580343			strain 47098 clone 11						Homo sapiens			
HE580344			strain 47098 clone 12						Homo sapiens			
HE580345			strain 47098 clone 3						Homo sapiens			
HE580346			strain 47098 clone 4						Homo sapiens			
HE580347			strain 47098 clone 5						Homo sapiens			
HE580348			strain 47098 clone 6						Homo sapiens			
HE580349			strain 47098 clone 7						Homo sapiens			
HE580350			strain 47098 clone 8						Homo sapiens			
HE580351			strain 47098 clone 9						Homo sapiens			
HE580352			strain 56518						Homo sapiens			
HE580353			strain 56774						Homo sapiens			
HM042025												
HM042026												
HM042027												
HM042028												
HM042029												
HM042030												
HM042031												
HM042032												
HM042033												
HM042034												
HM042035												
HM042036												
HM042037												
HM042085												
HM042086												
HM042087												
HM042088												
HM042089												
HM042090												
HM042091												
HM042092												
HM042093												
HM042094												
HM042095												
HM042096												
HQ229361												
HQ229450												
HQ318826												
HQ318827												
HQ318828												
HQ318844												
HQ318854												
HQ318856												
HQ318914												
HQ318915												
HQ318916												
HQ318917												
HQ318918												
HQ318919												
HQ318920												
HQ318921												
HQ318922												
HQ318923												
HQ318924												
HQ318925												
HQ318926												
HQ318927												
HQ450380					Pahang		Mar					
HQ639936												
HQ912954												
HQ912955												
HW467945												
JA212568												
JA212569												
JE984233												
JF720958					Guangdong	2010	Nov					
JF720959					Guangdong	2010	Nov					
JF720960					Guangdong	2010	Nov					
JF720961					Guangdong	2010	Nov					
JF720962					Guangdong	2010	Nov					
JF720963					Guangdong	2010	Nov					
JF720964					Guangdong	2010	Nov					
JF720965					Guangdong	2010	Nov					
JF720966					Guangdong	2010	Nov					
JF720967					Guangdong	2010	Nov					
JF720968					Guangdong	2010	Nov					
JF720969					Guangdong	2010	Nov					
JF720970					Guangdong	2010	Nov					
JF720971					Guangdong	2010	Nov					
JF720972					Guangdong	2010	Nov					
JF720973					Guangdong	2010	Nov					
JF720974					Guangdong	2010	Nov					
JF720975					Guangdong	2010	Nov					
JF720976					Guangdong	2010	Nov					
JF720977					Guangdong	2010	Nov					
JF720978					Guangdong	2010	Nov					
JF720979					Guangdong	2010	Nov					
JF720980					Guangdong	2010	Nov					
JF720981					Guangdong	2010	Nov					
JF720982					Guangdong	2010	Nov					
JF720983					Guangdong	2010	Nov					
JF720984					Guangdong	2010	Nov					
JF720985					Guangdong	2010	Nov					
JF720986					Guangdong	2010	Nov					
JF720987					Guangdong	2010	Nov					
JF720988					Guangdong	2010	Nov					
JF720989					Guangdong	2010	Nov					
JF720990					Guangdong	2010	Nov					
JF720991					Guangdong	2010	Nov					
JF720992					Guangdong	2010	Nov					
JF720993					Guangdong	2010	Nov					
JF720994					Guangdong	2010	Nov					
JF720995					Guangdong	2010	Nov					
JF720996					Guangdong	2010	Nov					
JF720997					Guangdong	2010	Nov					
JF720998					Guangdong	2010	Nov					
JF720999					Guangdong	2010	Nov					
JF721000					Guangdong	2010	Nov					
JF721001					Guangdong	2010	Nov					
JF721002					Guangdong	2010	Nov					
JF721003					Guangdong	2010	Nov					
JF721004					Guangdong	2010	Nov					
JF721005					Guangdong	2010	Nov					
JF721006					Guangdong	2010	Nov					
JF721007					Guangdong	2010	Nov					
JF721008					Guangdong	2010	Nov					
JF721009					Guangdong	2010	Nov					
JF721010					Guangdong	2010	Nov					
JF721011					Guangdong	2010	Nov					
JF721012					Guangdong	2010	Nov					
JF721013					Guangdong	2010	Nov					
JF721014					Guangdong	2010	Nov					
JF721015					Guangdong	2010	Nov					
JF721016					Guangdong	2010	Nov					
JF721017					Guangdong	2010	Nov					
JF721018					Guangdong	2010	Nov					
JF721019					Guangdong	2010	Nov					
JF721020					Guangdong	2010	Nov					
JF721021					Guangdong	2010	Nov					
JF721022					Guangdong	2010	Nov					
JF721023					Guangdong	2010	Nov					
JF721024					Guangdong	2010	Nov					
JF721025					Guangdong	2010	Nov					
JF721026					Guangdong	2010	Nov					
JF721027					Guangdong	2010	Nov					
JF721028					Guangdong	2010	Nov					
JF721029					Guangdong	2010	Nov					
JF721030					Guangdong	2010	Nov					
JF721031					Guangdong	2010	Nov					
JF721032					Guangdong	2010	Nov					
JF721033					Guangdong	2010	Nov					
JF721034					Guangdong	2010	Nov					
JF721035					Guangdong	2010	Nov					
JF721036												
JF721037												
JF721038												
JF721039												
JF721040												
JF721041												
JF721042												
JF721043												
JF721044												
JF721045												
JF721046												
JF721047												
JF721048												
JF721049												
JF721050												
JF721051												
JF721052												
JF721053												
JF721054												
JF721055												
JF721056												
JF721057												
JF721058					Hunan							
JF721059					Hunan							
JF721060					Fujian							
JF721061					Fujian							
JF721062					Fujian							
JF721063					Fujian							
JF721064					Fujian							
JF721065					Guangxi	2006						
JF721066					Guangxi	2006						
JF721067					Guangxi	2006						
JF721068					Hubei							
JF721069					Hainan							
JF721070					Hainan							
JF721071					Hangzhou							
JF721072					Hangzhou							
JF721073					Jiangxi							
JF721074					Kunming							
JF721075					Kunming							
JF721076					Kunming							
JF721077					Xi'an							
JF721078					Xi'an							
JF721079					Xinjiang							
JQ303354					Suzhou							
JQ303355					Suzhou							
JQ303357					Suzhou							
JQ303358					Suzhou							
JQ303362					Suzhou							
JQ303368					Suzhou							
JQ303372					Suzhou							
JQ303375					Suzhou							
JQ303379					Suzhou							
JQ303380					Suzhou							
JQ303381					Suzhou							
JQ303382					Suzhou							
JQ303384					Suzhou							
JQ303385					Suzhou							
JQ303386					Suzhou							
JQ303425					Suzhou							
JQ303428					Suzhou							
JQ303430					Suzhou							
JQ303431					Suzhou							
JQ303433					Suzhou							
JQ303434					Suzhou							
JQ303435					Suzhou							
JQ303436					Suzhou							
JQ303437					Suzhou							
JQ303438					Suzhou							
JQ303439					Suzhou							
JQ303442					Suzhou							
JQ303447					Suzhou							
JQ303453					Suzhou							
JQ303460					Suzhou							
JQ303467					Suzhou							
JQ303469					Suzhou							
JQ303471					Suzhou							
JQ303473					Suzhou							
JQ303476					Suzhou							
JQ303479					Suzhou							
JQ303482					Suzhou							
JQ303495					Suzhou							
JQ303508					Suzhou							
JQ303539					Suzhou							
JQ303540					Suzhou							
JQ303547					Suzhou							
JQ303548					Suzhou							
JQ303549					Suzhou							
JQ303550					Suzhou							
JQ303551					Suzhou							
JQ303552					Suzhou							
JQ303553					Suzhou							
JQ303554					Suzhou							
JQ303555					Suzhou							
JQ303556					Suzhou							
JQ303557					Suzhou							
JQ303558					Suzhou							
JQ303559					Suzhou							
JQ303560					Suzhou							
JQ303561					Suzhou							
JQ303562					Suzhou							
JQ303563					Suzhou							
JQ303564					Suzhou							
JQ303565					Suzhou							
JQ303566					Suzhou							
JQ303567					Suzhou							
JQ303568					Suzhou							
JQ303569					Suzhou							
JQ303570					Suzhou							
JQ303571					Suzhou							
JQ341409									Homo sapiens		http://jjmicrobiol.com/?page=article&article_id=6560	
JX183549										 add 18461611		
JX183550					Quebec					add 17287328		
JX183551										add 22116339		
JX183552										add 22116339		
JX183553										add 22116339		
JX183554												
JX183555										add 22116339		
JX183556										add 22116339		
JX183557										 add 18461611		
JX183558					Quebec					add 17287328		
JX522171												
JX676774						2009-2011						
JX676776						2009-2011						
JX676784						2009-2011						
JX676790						2009-2011						
JX676796						2009-2011						
JX676797						2009-2011						
JX676799						2009-2011						
JX676819						2009-2011						
JX676822						2009-2011						
JX676827						2009-2011						
JX676833						2009-2011						
JX676853						2009-2011						
JX676857						2009-2011						
JX676860						2009-2011						
JX676865						2009-2011						
JX676867						2009-2011						
JX676873						2009-2011						
JX676876						2009-2011						
JX676879						2009-2011						
JX676882						2009-2011						
JX676889						2009-2011						
JX676890						2009-2011						
JX676892						2009-2011						
JX676893						2009-2011						
JX676898						2009-2011						
JX676911						2009-2011						
JX676913						2009-2011						
JX676917						2009-2011						
JX676927						2009-2011						
JX676936						2009-2011						
JX676937						2009-2011						
JX676946						2009-2011						
JX676948						2009-2011						
JX676952						2009-2011						
JX677023						2009-2011						
JX677162						2009-2011						
JX960977			strain GX2024		Guangxi							
JX960979			strain GX2043		Guangxi							
JX960980			strain GX2063		Guangxi							
JX960981			strain GX2064		Guangxi							
JX960984			strain GX2082		Guangxi							
JX960985			strain GX2083		Guangxi							
JX960991			strain GX2133		Guangxi							
JX960993			strain GX2136		Guangxi							
JX960996			strain GX2151		Guangxi							
JX960999			strain GX2189		Guangxi							
JX961001			strain GX2254		Guangxi							
JX961004			strain GX3588		Guangxi							
JX961009			strain GX3635		Guangxi							
JX961011			strain GX3650		Guangxi							
JX961013			strain GX3653		Guangxi							
JX961014			strain GX3657		Guangxi							
JX961015			strain GX3667		Guangxi							
JX961016			strain GX3676		Guangxi							
JX961017			strain GX3677		Guangxi							
JX961022			strain GX3739		Guangxi							
JX961024			strain GX3744		Guangxi							
JX961031			strain GX3784		Guangxi							
JX961033			strain GX3826		Guangxi							
JX961034			strain GX3827		Guangxi							
JX961035			strain GX3843		Guangxi							
JX961036			strain GX3847		Guangxi							
JX961037			strain GX3852		Guangxi							
JX961038			strain GX3857		Guangxi							
JX961043			strain GX3918		Guangxi							
JX961046			strain GX3951		Guangxi							
JX961048			strain HN2923		Henan							
JX961065			strain HN2992		Henan							
JX961162			strain HN3198		Henan							
JX961171			strain HN3275		Henan							
JX961177			strain GX2064		Guangxi							
JX961188			strain GX2151		Guangxi							
JX961199			strain GX3635		Guangxi							
JX961206			strain GX3676		Guangxi							
JX961229			strain GX3857		Guangxi							
JX961238			strain HN2923		Henan							
JX961255			strain HN2992		Henan							
JX961353			strain HN3198		Henan							
JX961361			strain HN3275		Henan							
JX961364			strain GX2024		Guangxi							
JX961366			strain GX2043		Guangxi							
JX961367			strain GX2063		Guangxi							
JX961368			strain GX2064		Guangxi							
JX961371			strain GX2082		Guangxi							
JX961372			strain GX2083		Guangxi							
JX961376			strain GX2119		Guangxi							
JX961378			strain GX2133		Guangxi							
JX961380			strain GX2136		Guangxi							
JX961383			strain GX2151		Guangxi							
JX961386			strain GX2154		Guangxi							
JX961388			strain GX3576		Guangxi							
JX961393			strain GX3635		Guangxi							
JX961395			strain GX3650		Guangxi							
JX961397			strain GX3653		Guangxi							
JX961398			strain GX3657		Guangxi							
JX961399			strain GX3667		Guangxi							
JX961400			strain GX3676		Guangxi							
JX961401			strain GX3677		Guangxi							
JX961407			strain GX3639		Guangxi							
JX961409			strain GX3744		Guangxi							
JX961414			strain GX3784		Guangxi							
JX961416			strain GX3826		Guangxi							
JX961417			strain GX3827		Guangxi							
JX961418			strain GX3843		Guangxi							
JX961419			strain GX3852		Guangxi							
JX961420			strain GX3857		Guangxi							
JX961425			strain GX3918		Guangxi							
JX961428			strain HN2923		Henan							
JX961444			strain HN2992		Henan							
JX961540			strain HN3198		Henan							
JX961548			strain HN3275		Henan							
KC191671							July					
KC285336												
KC408452										27018495		
KC408453										27018495		
KC408456										27018495		
KC408457										27018495		
KC408458										27018495		
KC408459										27018495		
KC408461										27018495		
KC408462										27018495		
KC408463										27018495		
KC408464										27018495		
KC408466										27018495		
KC441477												
KC441478												
KC441479												
KC441480												
KC441481												
KC441482												
KC441483												
KC441484												
KC441485												
KC441486												
KC844037												
KC844038												
KC844039												
KC844040												
KC878878												
KC878885												
KC878893												
KC878895												
KC878900												
KC878923												
KC878938												
KC878939												
KC878947												
KC878956												
KC878983												
KC879025												
KC879029												
KF246093									Homo sapiens			
KF246095									Homo sapiens			
KF246103									Homo sapiens			
KF246109									Homo sapiens			
KF246115									Homo sapiens			
KF246116									Homo sapiens			
KF246118									Homo sapiens			
KF246137									Homo sapiens			
KF246140									Homo sapiens			
KF246145									Homo sapiens			
KF246151									Homo sapiens			
KF246170									Homo sapiens			
KF246174									Homo sapiens			
KF246177									Homo sapiens			
KF246182									Homo sapiens			
KF246184									Homo sapiens			
KF246192									Homo sapiens			
KF246195									Homo sapiens			
KF246204									Homo sapiens			
KF246205									Homo sapiens			
KF246207									Homo sapiens			
KF246208									Homo sapiens			
KF246213									Homo sapiens			
KF246226									Homo sapiens			
KF246228									Homo sapiens			
KF246240									Homo sapiens			
KF246248									Homo sapiens			
KF246249									Homo sapiens			
KF246258									Homo sapiens			
KF246260									Homo sapiens			
KF246264									Homo sapiens			
KF246273									Homo sapiens			
KF246276									Homo sapiens			
KF246279									Homo sapiens			
KF246286									Homo sapiens			
KF246303									Homo sapiens			
KF246309									Homo sapiens			
KF246313									Homo sapiens			
KF246318									Homo sapiens			
KF246319									Homo sapiens			
KF246330									Homo sapiens			
KF246331									Homo sapiens			
KF246341									Homo sapiens			
KF246342									Homo sapiens			
KF246344									Homo sapiens			
KF246345									Homo sapiens			
KF246350									Homo sapiens			
KF246353									Homo sapiens			
KF246359									Homo sapiens			
KF246364									Homo sapiens			
KF246367									Homo sapiens			
KF246368									Homo sapiens			
KF246372									Homo sapiens			
KF246378									Homo sapiens			
KF246397									Homo sapiens			
KF246401									Homo sapiens			
KF246412									Homo sapiens			
KF246417									Homo sapiens			
KF246422									Homo sapiens			
KF246433									Homo sapiens			
KF246434									Homo sapiens			
KF246436									Homo sapiens			
KF246446									Homo sapiens			
KF246449									Homo sapiens			
KF246459									Homo sapiens			
KF246461									Homo sapiens			
KF246469									Homo sapiens			
KF291978					Guangxi							
KF291981					Guangxi							
KF291982					Guangxi							
KF291987					Guangxi							
KF291991					Guangxi							
KF291995					Guangxi							
KF291996					Guangxi							
KF291997					Guangxi							
KF292005					Guangxi							
KF292007					Guangxi							
KF292009					Guangxi							
KF292010					Guangxi							
KF292012					Guangxi							
KF292013					Guangxi							
KF292014					Guangxi							
KF292018					Guangxi							
KF292021					Guangxi							
KF292023					Guangxi							
KF292026					Guangxi							
KF292028					Guangxi							
KF292029					Guangxi							
KF292031					Guangxi							
KF292034					Guangxi							
KF292037					Guangxi							
KF292041					Guangxi							
KF292042					Guangxi							
KF292043					Guangxi							
KF292046					Guangxi							
KF292047					Guangxi							
KF292048					Guangxi							
KF292053					Guangxi							
KF292057					Guangxi							
KF292059					Guangxi							
KF292062					Guangxi							
KF292063					Guangxi							
KF292064					Guangxi							
KF292065					Guangxi							
KF292066					Guangxi							
KF292067					Guangxi							
KF292068					Guangxi							
KF292069					Guangxi							
KF292070					Guangxi							
KF292071					Guangxi							
KF292072					Guangxi							
KF292073					Guangxi							
KF292074					Guangxi							
KF292075					Guangxi							
KF292076					Guangxi							
KF292077					Guangxi							
KF292078					Guangxi							
KF292079					Guangxi							
KF292081					Guangxi							
KF292082					Guangxi							
KF292084					Guangxi							
KF292098					Guangxi							
KF292112					Guangxi							
KF292119					Guangxi							
KF292122					Guangxi							
KF292125					Guangxi							
KF292126					Guangxi							
KF292127					Guangxi							
KF292132					Guangxi							
KF292135					Guangxi							
KF292136					Guangxi							
KF292138					Guangxi							
KF292140					Guangxi							
KF292141					Guangxi							
KF292146					Guangxi							
KF292147					Guangxi							
KF292150					Guangxi							
KF292152					Guangxi							
KF292153					Guangxi							
KF292154					Guangxi							
KF292155					Guangxi							
KF292156					Guangxi							
KF292160					Guangxi							
KF292161					Guangxi							
KF292164					Guangxi							
KF292166					Guangxi							
KF292170					Guangxi							
KF292174					Guangxi							
KF585937				China	Xinjiang	2007-2010						
KF585940				China	Changsha	2007-2010						
KF585948				China	Changsha	2007-2010						
KF585949				China	Changsha	2007-2010						
KF585955				China	Fujian	2007-2010						
KF585958				China	Fujian	2007-2010						
KF585959				China	Fujian	2007-2010						
KF585962				China	Fujian	2007-2010						
KF585964				China	Fujian	2007-2010						
KF585967				China	Guangxi	2007-2010						
KF585971				China	Guangxi	2007-2010						
KF585974				China	Guangxi	2007-2010						
KF585975				China	Guangdong	2007-2010						
KF585976				China	Guangdong	2007-2010						
KF585977				China	Guangdong	2007-2010						
KF585978				China	Guangdong	2007-2010						
KF585981				China	Guangdong	2007-2010						
KF585983				China	Guangdong	2007-2010						
KF585987				China	Guangdong	2007-2010						
KF585988				China	Guangdong	2007-2010						
KF585993				China	Guangdong	2007-2010						
KF585997				China	Guangdong	2007-2010						
KF585998				China	Guangdong	2007-2010						
KF586001				China	Guangdong	2007-2010						
KF586002				China	Guangdong	2007-2010						
KF586007				China	Guangdong	2007-2010						
KF586008				China	Guangdong	2007-2010						
KF586015				China	Guangdong	2007-2010						
KF586017				China	Guangdong	2007-2010						
KF586018				China	Guangdong	2007-2010						
KF586019				China	Guangdong	2007-2010						
KF586020				China	Guangdong	2007-2010						
KF586024				China	Guangdong	2007-2010						
KF586025				China	Guangdong	2007-2010						
KF586026				China	Guangdong	2007-2010						
KF586028				China	Guangdong	2007-2010						
KF586030				China	Guangdong	2007-2010						
KF586032				China	Guangdong	2007-2010						
KF586033				China	Guangdong	2007-2010						
KF586035				China	Guangdong	2007-2010						
KF586038				China	Guangdong	2007-2010						
KF586040				China	Guangdong	2007-2010						
KF586053				China	Hubei	2007-2010						
KF586054				China	Hainan	2007-2010						
KF586058				China	Hainan	2007-2010						
KF586059				China	Hainan	2007-2010						
KF586066				China	Zhejiang	2007-2010						
KF586067				China	Zhejiang	2007-2010						
KF586071				China	Jiangxi	2007-2010						
KF586076				China	Kunming	2007-2010						
KF586077				China	Kunming	2007-2010						
KF586079				China	Kunming	2007-2010						
KF586081				China	Kunming	2007-2010						
KF586088				China	Kunming	2007-2010						
KF586089				China	Kunming	2007-2010						
KF586095				China	Kunming	2007-2010						
KF586113				China	Kunming	2007-2010						
KF586118				China	Kunming	2007-2010						
KF586120				China	Kunming	2007-2010						
KF586127				China	Kunming	2007-2010						
KF586137				China	Liaoning	2007-2010						
KF586173				China	Shanghai	2007-2010						
KF586174				China	Shanghai	2007-2010						
KF586178				China	Shanghai	2007-2010						
KF586184				China	Shanghai	2007-2010						
KF586186				China	Shanghai	2007-2010						
KF586290				China	Shaanxi	2007-2010						
KF586316				China	Shaanxi	2007-2010						
KF926866												
KF926867												
KF926868												
KF926869												
KF926870												
KF926871												
KF926872												
KF926873												
KF926874												
KF926875												
KF926876												
KF926877												
KF926878												
KF926879												
KF926880												
KF926881												
KF926882												
KF926883												
KF926884												
KF926885												
KF926886												
KF926887												
KF926888												
KF926889												
KF926890												
KF926891												
KF926892												
KF926893												
KF926894												
KF926895												
KF926896												
KF926897												
KF926898												
KF926899												
KF926900												
KF926901												
KF926902												
KF926903												
KF926904												
KF926905												
KF926906												
KF926907												
KF926908												
KF926909												
KF926910												
KF926911												
KF926912												
KF926913												
KF926914												
KF926915												
KF926916												
KF926917												
KF926918												
KF926919												
KF926920												
KF926921												
KF926922												
KF926923												
KF926924												
KF926925												
KF926926												
KF926927												
KF926928												
KF926929												
KF926930												
KF926931												
KF926932												
KF926933												
KF926934												
KF926935												
KF926936												
KF926937												
KF926938												
KF926939												
KF926940												
KF926941												
KF926959												
KJ024844												
KJ024845												
KJ024847												
KJ024849												
KJ024850												
KJ024851												
KJ024852												
KJ024854												
KJ024856												
KJ024857												
KJ024858												
KJ024859												
KJ024860												
KJ024861												
KJ024862												
KJ024863												
KJ024864												
KJ024865												
KJ024866												
KJ024867												
KJ024868												
KJ024869												
KJ024876												
KJ024888												
KJ024889												
KJ024931												
KJ024932												
KJ024933												
KJ024934												
KJ024936												
KJ024937												
KJ024938												
KJ024939												
KJ024940												
KJ024941												
KJ024942												
KJ024943												
KJ024944												
KJ024945												
KJ024946												
KJ024947												
KJ024948												
KJ024949												
KJ024950												
KJ024951												
KJ024952												
KJ024953												
KJ024954												
KJ024955												
KJ024956												
KJ024957												
KJ024958												
KJ024959												
KJ024960												
KJ024961												
KJ024962												
KJ024963												
KJ024964												
KJ024965												
KJ024966												
KJ470377					Ho Chi Minh City				Homo sapians			
KJ470378					Ho Chi Minh City				Homo sapians			
KJ470384					Ho Chi Minh City				Homo sapians			
KJ470386					Ho Chi Minh City				Homo sapians			
KJ470388					Ho Chi Minh City				Homo sapians			
KJ470389					Ho Chi Minh City				Homo sapians			
KJ470390					Ho Chi Minh City				Homo sapians			
KJ470391					Ho Chi Minh City				Homo sapians			
KJ470393					Ho Chi Minh City				Homo sapians			
KJ470396					Ho Chi Minh City				Homo sapians			
KJ470399					Ho Chi Minh City				Homo sapians			
KJ470400					Ho Chi Minh City				Homo sapians			
KJ470402					Ho Chi Minh City				Homo sapians			
KJ470403					Ho Chi Minh City				Homo sapians			
KJ470404					Ho Chi Minh City				Homo sapians			
KJ470405					Ho Chi Minh City				Homo sapians			
KJ470409					Ho Chi Minh City				Homo sapians			
KJ470412					Ho Chi Minh City				Homo sapians			
KJ470418					Ho Chi Minh City				Homo sapians			
KJ470420					Ho Chi Minh City				Homo sapians			
KJ470422					Ho Chi Minh City				Homo sapians			
KJ470424					Ho Chi Minh City				Homo sapians			
KJ470425					Ho Chi Minh City				Homo sapians			
KJ470427					Ho Chi Minh City				Homo sapians			
KJ470430					Ho Chi Minh City				Homo sapians			
KJ470432					Ho Chi Minh City				Homo sapians			
KJ470433					Ho Chi Minh City				Homo sapians			
KJ470434					Ho Chi Minh City				Homo sapians			
KJ470436					Ho Chi Minh City				Homo sapians			
KJ470437					Ho Chi Minh City				Homo sapians			
KJ470439					Ho Chi Minh City				Homo sapians			
KJ470440					Ho Chi Minh City				Homo sapians			
KJ470444					Ho Chi Minh City				Homo sapians			
KJ470445					Ho Chi Minh City				Homo sapians			
KJ470447					Ho Chi Minh City				Homo sapians			
KJ470448					Ho Chi Minh City				Homo sapians			
KJ470449					Ho Chi Minh City				Homo sapians			
KJ470452					Ho Chi Minh City				Homo sapians			
KJ470453					Ho Chi Minh City				Homo sapians			
KJ470454					Ho Chi Minh City				Homo sapians			
KJ470455					Ho Chi Minh City				Homo sapians			
KJ470458					Ho Chi Minh City				Homo sapians			
KJ470460					Ho Chi Minh City				Homo sapians			
KJ470461					Ho Chi Minh City				Homo sapians			
KJ470464					Ho Chi Minh City				Homo sapians			
KJ470465					Ho Chi Minh City				Homo sapians			
KJ470466					Ho Chi Minh City				Homo sapians			
KJ470467					Ho Chi Minh City				Homo sapians			
KJ470470					Ho Chi Minh City				Homo sapians			
KJ470472					Ho Chi Minh City				Homo sapians			
KJ470473					Ho Chi Minh City				Homo sapians			
KJ470474					Ho Chi Minh City				Homo sapians			
KJ470475					Ho Chi Minh City				Homo sapians			
KJ470477					Ho Chi Minh City				Homo sapians			
KJ470478					Ho Chi Minh City				Homo sapians			
KJ470479					Ho Chi Minh City				Homo sapians			
KJ470484					Ho Chi Minh City				Homo sapians			
KJ470486					Ho Chi Minh City				Homo sapians			
KJ470490					Ho Chi Minh City				Homo sapians			
KJ470491					Ho Chi Minh City				Homo sapians			
KJ470493					Ho Chi Minh City				Homo sapians			
KJ470495					Ho Chi Minh City				Homo sapians			
KJ470497					Ho Chi Minh City				Homo sapians			
KJ470498					Ho Chi Minh City				Homo sapians			
KJ470499					Ho Chi Minh City				Homo sapians			
KJ470501					Ho Chi Minh City				Homo sapians			
KJ470503					Ho Chi Minh City				Homo sapians			
KJ470504					Ho Chi Minh City				Homo sapians			
KJ470505					Ho Chi Minh City				Homo sapians			
KJ470507					Ho Chi Minh City				Homo sapians			
KJ470508					Ho Chi Minh City				Homo sapians			
KJ470513					Ho Chi Minh City				Homo sapians			
KJ470514					Ho Chi Minh City				Homo sapians			
KJ470515					Ho Chi Minh City				Homo sapians			
KJ470517					Ho Chi Minh City				Homo sapians			
KJ470518					Ho Chi Minh City				Homo sapians			
KJ470520					Ho Chi Minh City				Homo sapians			
KJ470521					Ho Chi Minh City				Homo sapians			
KJ470523					Ho Chi Minh City				Homo sapians			
KJ470527					Ho Chi Minh City				Homo sapians			
KJ470529					Ho Chi Minh City				Homo sapians			
KJ470533					Ho Chi Minh City				Homo sapians			
KJ470534					Ho Chi Minh City				Homo sapians			
KJ470536					Ho Chi Minh City				Homo sapians			
KJ470537					Ho Chi Minh City				Homo sapians			
KJ470539					Ho Chi Minh City				Homo sapians			
KJ470540					Ho Chi Minh City				Homo sapians			
KJ470541					Ho Chi Minh City				Homo sapians			
KJ470543					Ho Chi Minh City				Homo sapians			
KJ470546					Ho Chi Minh City				Homo sapians			
KJ470548					Ho Chi Minh City				Homo sapians			
KJ470552					Ho Chi Minh City				Homo sapians			
KJ470553					Ho Chi Minh City				Homo sapians			
KJ470554					Ho Chi Minh City				Homo sapians			
KJ470558					Ho Chi Minh City				Homo sapians			
KJ470563					Ho Chi Minh City				Homo sapians			
KJ470564					Ho Chi Minh City				Homo sapians			
KJ470565					Ho Chi Minh City				Homo sapians			
KJ470566					Ho Chi Minh City				Homo sapians			
KJ470567					Ho Chi Minh City				Homo sapians			
KJ470571					Ho Chi Minh City				Homo sapians			
KJ470572					Ho Chi Minh City				Homo sapians			
KJ470573					Ho Chi Minh City				Homo sapians			
KJ470580					Ho Chi Minh City				Homo sapians			
KJ470581					Ho Chi Minh City				Homo sapians			
KJ470582					Ho Chi Minh City				Homo sapians			
KJ470583					Ho Chi Minh City				Homo sapians			
KJ470584					Ho Chi Minh City				Homo sapians			
KJ470585					Ho Chi Minh City				Homo sapians			
KJ470588					Ho Chi Minh City				Homo sapians			
KJ470591					Ho Chi Minh City				Homo sapians			
KJ470592					Ho Chi Minh City				Homo sapians			
KJ470594					Ho Chi Minh City				Homo sapians			
KJ470596					Ho Chi Minh City				Homo sapians			
KJ470598					Ho Chi Minh City				Homo sapians			
KJ470600					Ho Chi Minh City				Homo sapians			
